time_s,ref_x_ref,ref_dx_ref,ref_y_ref,ref_dy_ref,ref_z_ref,ref_dz_ref,ref_psi_ref,state_x,state_dx,state_y,state_dy,state_z,state_dz,state_psi,state_dpsi,state_theta,state_dtheta,state_phi,state_dphi,cmd_u,cmd_tau_psi,cmd_tau_theta,cmd_tau_phi,cmd_theta_des,cmd_phi_des,cmd_ax_cmd,cmd_ay_cmd,cmd_uz_cmd,err_ex,err_ey,err_ez,err_epsi,err_etheta,err_ephi,err_Ix,err_Iy,err_Iz,err_Ipsi,err_Itheta,err_Iphi
0,0.00669285092428486,0.00664805667079015,0.0120471316637127,0.0119665020074223,0.0539586298862747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9684531127108,0,0.53761022132136,-0.244959651847595,0.00448002917731328,-0.00612383820023486,0.0439493802608805,0.0600756037191491,2.15845311271076,0.00669285092428486,0.0120471316637127,0.0539586298862747,0,0.00448002917731328,-0.00612383820023486,6.69285092428486e-06,1.20471316637127e-05,5.39586298862747e-05,0,4.48002917731328e-06,-6.12383820023486e-06
0.001,0.0066995022615536,0.00665461893100103,0.0120591040707965,0.0119783140758019,0.0540116435538155,0,0,2.68098446949947e-13,1.07239378779978e-09,1.22157837818495e-13,4.8863135127398e-10,1.07922655635536e-06,0.00215845311271063,0,0,2.6880511066068e-07,0.00053761022132136,-1.22479825923797e-07,-0.000244959651847595,11.9598462459158,0,0.533821829545533,-0.243248887347302,0.00448451267933171,-0.00613003025022872,0.0439933642993479,0.0601363500099374,2.14984624591524,0.0066995022612855,0.0120591040706743,0.0540105643272592,0,0.00448424387422105,-0.0061299077704028,1.33923531855704e-05,2.41062357343871e-05,0.000107969194213534,0,8.96427305153433e-06,-1.22537459706377e-05
0.002,0.00670616016427649,0.00666118758012756,0.0120710882956977,0.0119901376442296,0.0540647083507603,0,0,4.28556652126781e-12,8.56620054238116e-09,1.95270656482857e-12,3.9031810058515e-09,4.31260279202289e-06,0.00430829935862314,0,0,1.07332624675481e-06,0.00107143205086689,-4.89063921445043e-07,-0.000488208539194896,11.9511983923139,0,0.529999597429253,-0.241542269943633,0.00448899728908564,-0.006136227783234,0.0440373592066882,0.060197150095735,2.14119839230554,0.00670616015999093,0.012071088293745,0.0540603957479683,0,0.00448792396283889,-0.00613573871931256,2.00985133455613e-05,3.6177324028132e-05,0.000162029589961502,0,1.34521970143732e-05,-1.83894846899502e-05
0.003,0.0067128246388455,0.00666776262421361,0.0120830843499219,0.0120019727235845,0.0541178243245421,0,0,2.16636061189612e-11,2.8851872348358e-08,9.87106371416884e-12,1.31465394433041e-08,9.69150134679481e-06,0.0064494977509151,0,0,2.40975809633633e-06,0.00160143164829615,-1.09804359561176e-06,-0.000729750809138529,11.9425100996607,0,0.5261438622224,-0.239839811078254,0.00449347976233168,-0.0061424302119582,0.0440813331562344,0.0602579982150794,2.13251009961881,0.0067128246171819,0.0120830843400508,0.0541081328231953,0,0.00449107000423535,-0.00614133216836259,2.68113379627432e-05,4.82604083681829e-05,0.000216137722784697,0,1.79432670186086e-05,-2.45308168583128e-05
0.004,0.00671949569165859,0.00667434406930837,0.0120950922449855,0.0120138193247551,0.0541709915226342,0,0,6.83540892073597e-11,6.82402359663923e-08,3.11461563143506e-11,3.10948459389613e-08,1.72072541475075e-05,0.00858200785049522,0,0,4.27426167574367e-06,0.00212757551051855,-1.94771431028941e-06,-0.000969590620216783,11.9337819146327,0,0.522254966041533,-0.23814152211912,0.00449795688418591,-0.00614863695367921,0.0441252546093361,0.0603188886513944,2.1237819145011,0.0067194956233045,0.0120950922138393,0.0541537842684867,0,0.00449368262251016,-0.00614668923936892,3.35308335860477e-05,6.03555005820222e-05,0.000270291507053184,0,2.24369496411187e-05,-3.06775060976817e-05
0.005,0.0067261733291198,0.00668093192146644,0.0121071119924156,0.0120256774586396,0.0542242099925503,0,0,1.6658973541017e-10,1.32982099869732e-07,7.59096953680657e-11,6.05975400856346e-08,2.6851152955227e-05,0.0107057897649124,0,0,6.66296466928298e-06,0.00264983047656008,-3.03637569156575e-06,-0.0012077321423359,11.9250143828107,0,0.51833325581549,-0.236447414360526,0.00450242546933388,-0.00615484743024309,0.0441690923174209,0.0603798157329667,2.11501438249103,0.00672617316253007,0.012107111916506,0.0541973588395951,0,0.0044957625046646,-0.00615181105455152,4.02570067485777e-05,7.24626124985281e-05,0.000324488865892779,0,2.69327121457833e-05,-3.68293171522332e-05
0.006,0.00673285755763924,0.00668752618674778,0.0121191436037506,0.012037547136146,0.0542774797818445,0,0,3.44823901607138e-10,2.2926787124228e-07,1.57129502829127e-10,1.04477415265878e-07,3.86144499113358e-05,0.0128208041472486,0,0,9.57196177375081e-06,0.00316816373237557,-4.36233154108192e-06,-0.00144417955669643,11.9162080486628,0,0.514379083230239,-0.23475749902313,0.00450688236223562,-0.00616106106806139,0.0442128153240041,0.0604407738329193,2.10620804800353,0.00673285721281533,0.0121191434466211,0.0542388653319332,0,0.00449731040046187,-0.00615669873652031,4.69898639613931e-05,8.45817559451492e-05,0.000378727731224712,0,3.14300225462452e-05,-4.29860158887535e-05
0.007,0.00673954838363303,0.0066941268712177,0.0121311870905395,0.0120494283681919,0.0543308009381112,0,0,6.37669993514048e-10,3.63227182946339e-07,2.90582893014786e-10,1.65530674048215e-07,5.2488358082504e-05,0.014927012194995,0,0,1.29973150477415e-05,0.00368254281560581,-5.92388984728992e-06,-0.00167893705571956,11.9073634555285,0,0.510392804672988,-0.233071787253972,0.00451132443732551,-0.00616727729810807,0.0442563929666512,0.0605017573691798,2.09736345431378,0.00673954774596304,0.0121311867999566,0.0542783125800287,0,0.00449832712227776,-0.00616135340826078,5.37294117073561e-05,9.67129427451058e-05,0.000433006043804741,0,3.5928349668523e-05,-4.91473692970143e-05
0.008,0.00674624581352342,0.00670073398094694,0.0121432424643422,0.0120613211657045,0.0543841735089854,0,0,1.08584050921598e-09,5.40928530466281e-07,4.94830110364143e-10,2.46526985480823e-07,6.84640520045284e-05,0.0170243756489127,0,0,1.69350542656838e-05,0.0041929356202788,-7.71936279663646e-06,-0.00191200884297353,11.8984811456019,0,0.506374781175582,-0.231390290126479,0.00451574859920729,-0.00617349555591606,0.0442997948788898,0.0605627608044456,2.08848114354119,0.00674624472768291,0.012143241969512,0.0543157094569808,0,0.0044988135449416,-0.00616577619311942,6.0475656435039e-05,0.000108856184714618,0.000487321753261722,0,4.04271632134646e-05,-5.53131454901338e-05
0.009,0.00675294985373871,0.0067073475220116,0.0121553097367297,0.0120732255396209,0.0544375975421422,0,0,1.73608572463204e-09,7.68378918832514e-07,7.9118782542687e-10,3.50209544256229e-07,8.65326682250252e-05,0.019112856791877,0,0,2.13811772765504e-05,0.00469931040145438,-9.74706678467323e-06,-0.00214339913310001,11.889561659916,0,0.502325378357177,-0.229713018640451,0.00452015178284391,-0.00617971528157332,0.0443429909920728,0.0606237786461448,2.07956165663357,0.00675294811765298,0.0121553089455418,0.0543510648739172,0,0.00449877060556736,-0.00616996821478865,6.7228604552692e-05,0.00012101149366016,0.000541672818135639,0,4.49259338190319e-05,-6.14831137049224e-05
0.01,0.00675966051071325,0.00671396750049315,0.0121673889192838,0.0120851415008877,0.0544910730852975,0,0,2.64113203089328e-09,1.05152351952821e-06,1.20370269094006e-09,4.79295131720628e-07,0.000106685305844958,0.0211924184477061,0,0,2.63316503671833e-05,0.00520163577981155,-1.20053224270935e-05,-0.00237311215174046,11.8806055383263,0,0.498244966366219,-0.228039983722039,0.00452453095374242,-0.00618593591971862,0.0443859515371919,0.060684805446393,2.0706055333514,0.00675965786958122,0.0121673877155812,0.0543843877794526,0,0.00449819930337523,-0.00617393059729152,7.39882624222732e-05,0.000133178881375741,0.000596057205915092,0,4.94241331224072e-05,-6.76570443022139e-05
0.011,0.00676637779088752,0.00672059392247851,0.0121794800235975,0.0120970690604613,0.0545446001862077,0,0,3.85961993361684e-09,1.39624533737941e-06,1.75912495982469e-09,6.36474178701501e-07,0.000128913027058988,0.0232630239799738,0,0,3.1782408630178e-05,0.00569988074617777,-1.44924545706949e-05,-0.0026011521354625,11.8716133194948,0,0.494133919821742,-0.226371196223714,0.00452888310813377,-0.00619215691953686,0.0444286470466421,0.060745835801947,2.06161331225223,0.00676637393126759,0.0121794782644726,0.0544156871591487,0,0.00449710069950359,-0.00617766446496617,8.07546363535408e-05,0.000145358359640213,0.00065047289307424,0,5.39212338219108e-05,-7.38347087671801e-05
0.012,0.00677310170070807,0.00672722679405994,0.0121915830612745,0.0121090082293079,0.0545981788926693,0,0,5.45604172405947e-09,1.80836488742727e-06,2.4868821669068e-09,8.24410830127297e-07,0.000153206857694625,0.0253246372908065,0,0,3.77293563362667e-05,0.00619401466599951,-1.72067923042693e-05,-0.00282752333168621,11.8625855408745,0,0.489992617753978,-0.224706666924212,0.00453320527314765,-0.00619837773475407,0.0444710483559366,0.0608068643541541,2.05258553067517,0.00677309624466635,0.0121915805743924,0.0544449720349747,0,0.00449547591681138,-0.0061811709424498,8.75277325982072e-05,0.000157549940214606,0.000704917865109215,0,5.84167097387221e-05,-8.00158797096299e-05
