model,channel,rmse,iae,max_abs_error,final_abs_error,settling_time_s,tolerance
Modelo_1gdl_PID_R2025a,z,0.00609610855190271,0.052609880638197,0.0545687713873152,3.92005424414421e-05,0.094,0.05
Modelo_1gdl_PID_R2025a,dz,0.0242032909310701,0.116457029678803,0.205411519726812,1.98168168641971e-06,0.848,0.05
Quadri_Sub_Por_Partes_PID_R2025a,x,0.0140424233963445,0.224041971292079,0.0308566545143406,0.000317594018037215,0,0.05
Quadri_Sub_Por_Partes_PID_R2025a,y,0.0269561409672592,0.324971256326685,0.0740014401965985,0.000376775495792847,7.734,0.05
Quadri_Sub_Por_Partes_PID_R2025a,z,0.032099470038717,0.447115679530635,0.0873793364653677,0.00849620117725491,5.227,0.05
Quadri_Sub_Por_Partes_PID_R2025a,psi,0,0,0,0,0,0.0349065850398866
Quadri_Victor_combination_PID_R2025a,x,0.0140424233963445,0.224041971292079,0.0308566545143406,0.000317594018037215,0,0.05
Quadri_Victor_combination_PID_R2025a,y,0.0269561409672592,0.324971256326685,0.0740014401965985,0.000376775495792847,7.734,0.05
Quadri_Victor_combination_PID_R2025a,z,0.032099470038717,0.447115679530635,0.0873793364653677,0.00849620117725491,5.227,0.05
Quadri_Victor_combination_PID_R2025a,psi,0,0,0,0,0,0.0349065850398866
Quadrotor_model_2020_PID_R2025a,x,0.00943754012957967,0.225422883547229,0.1,0.00507394842717379,0.539,0.05
Quadrotor_model_2020_PID_R2025a,y,0.016609191448489,0.281426026417187,0.128302451655545,0.00227631810610074,1.042,0.05
Quadrotor_model_2020_PID_R2025a,z,0.00594049398731549,0.222169998077421,0.0184494003809241,0.000243664185634707,0,0.05
Quadrotor_model_2020_PID_R2025a,psi,0.00909388965462008,0.103606539594876,0.1,0.000398675670068803,0.699,0.0349065850398866
