Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,7.124860449420754738e-04,-1.336319886272679090e-04
3.000000000000000062e-03,-8.920577629617617221e-04,7.112813924511106941e-04
4.000000000000000083e-03,-3.535227361889937666e-04,5.128333313475840014e-04
5.000000000000000104e-03,5.587259530817661113e-05,2.448464681131971377e-04
6.000000000000000125e-03,3.549294684909269095e-04,-4.037603414762323513e-04
7.000000000000000146e-03,1.484413966917851036e-04,9.437442914779275646e-04
8.000000000000000167e-03,-1.396415666094158264e-04,7.744572344905986932e-04
9.000000000000001055e-03,-2.141737685319393793e-04,1.271371196805379158e-03
1.000000000000000021e-02,2.986281762572218180e-04,6.954067966546381751e-04
1.099999999999999936e-02,7.336485797113535129e-05,-7.751605681125878959e-04
1.200000000000000025e-02,-6.866249776846898708e-04,3.282943647271413089e-04
1.300000000000000114e-02,-5.310568598399971821e-04,9.216924426371982679e-04
1.400000000000000029e-02,5.882164054823269895e-04,2.189732627750838514e-03
1.499999999999999944e-02,-3.928152884382409829e-04,-1.545258014592969069e-04
1.600000000000000033e-02,-5.171198530430049607e-04,2.688592795450531030e-04
1.700000000000000122e-02,-4.342065635630498743e-04,1.760571510270410181e-03
1.800000000000000211e-02,-6.802864778340446828e-04,-3.070483304655885742e-04
1.899999999999999953e-02,-1.112003507266878972e-03,-5.890257618906926448e-04
2.000000000000000042e-02,-4.307985801201069317e-04,-1.035803445373503122e-03
2.100000000000000130e-02,2.328739237196025217e-04,7.744224967873173174e-04
2.199999999999999872e-02,-8.886150108253145375e-04,1.469379738379745191e-03
2.299999999999999961e-02,-9.057153655815734479e-04,4.112566915371758652e-04
2.400000000000000050e-02,-5.028693277260190379e-04,1.185858781625822363e-03
2.500000000000000139e-02,1.450151672458043026e-04,9.018413544957955795e-04
2.600000000000000228e-02,-5.869298170732049165e-04,1.438415209472225335e-03
2.699999999999999969e-02,-1.023492525041751807e-03,5.174277005197139507e-04
2.800000000000000058e-02,-1.497925514140187450e-03,-1.413420853745684476e-04
2.900000000000000147e-02,-9.358217277270615376e-04,1.181316165561367747e-03
2.999999999999999889e-02,3.727072464005960067e-04,1.080981814533970393e-03
3.099999999999999978e-02,-6.640298702945560474e-04,1.464247354071642132e-03
3.200000000000000067e-02,-8.326292221286642984e-04,1.997932011442074291e-03
3.300000000000000155e-02,-3.296019900398599939e-04,1.555654489861846464e-03
3.400000000000000244e-02,-1.035781511464078063e-03,1.238830449602581520e-04
3.500000000000000333e-02,2.111262854374686485e-04,1.625869466343934878e-03
3.600000000000000422e-02,-3.373576436801491011e-04,2.105003123878235183e-03
3.699999999999999817e-02,-1.348790652720165779e-03,8.582305930101416166e-04
3.799999999999999906e-02,-8.292483656388271443e-04,1.159176043122182084e-03
3.899999999999999994e-02,-6.372948263255350703e-04,2.082716975265027238e-03
4.000000000000000083e-02,-8.677744733093157616e-04,9.908899688095044143e-04
4.100000000000000172e-02,-1.747820153673018510e-03,2.326604046242308939e-03
4.200000000000000261e-02,-4.174403394562613192e-04,1.010094944061383331e-03
4.300000000000000350e-02,-8.720414367783071476e-06,2.144547081200426711e-03
4.399999999999999745e-02,-5.158449024195503304e-04,1.348440779496870925e-03
4.499999999999999833e-02,-1.070093062917350409e-03,1.164384745271262967e-03
4.599999999999999922e-02,-9.650942914652381206e-04,1.455240062686078122e-03
