Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-7.723250819502111867e-04,4.107076073146117504e-04
3.000000000000000062e-03,-5.085494929952434368e-04,-1.837300160986870580e-04
4.000000000000000083e-03,2.752868015345705070e-04,3.346154688506258247e-04
5.000000000000000104e-03,2.852574792443471926e-04,-1.637421476446434838e-03
6.000000000000000125e-03,1.932278871979787097e-04,-1.263749274654817761e-03
7.000000000000000146e-03,7.298929383980491507e-04,2.786330644876603563e-05
8.000000000000000167e-03,2.766213051893493305e-04,2.344354365996950240e-04
9.000000000000001055e-03,3.917097305506374132e-04,-4.686843453795131028e-04
1.000000000000000021e-02,1.966383214713493012e-03,1.054876103627653498e-04
1.099999999999999936e-02,9.699595045641806398e-04,-1.022415230847965460e-04
1.200000000000000025e-02,3.153735734004910196e-04,-1.264212549643250636e-03
1.300000000000000114e-02,5.216072507846950890e-04,-4.742076292140706391e-04
1.400000000000000029e-02,1.364677060475504066e-03,-5.469453508892135885e-04
1.499999999999999944e-02,4.524999726553139085e-04,5.904620451260291468e-06
1.600000000000000033e-02,1.544018457214234004e-03,-1.233277908848083235e-03
1.700000000000000122e-02,4.330910404635886744e-04,-9.827184181766224994e-04
1.800000000000000211e-02,1.005140474416914894e-03,-8.947781068200374522e-04
1.899999999999999953e-02,1.251746745870239465e-03,3.785705409020966071e-04
2.000000000000000042e-02,3.235585621413038238e-05,-5.717596026841916413e-04
2.100000000000000130e-02,-1.498145551733848701e-04,-2.283013559111287619e-03
2.199999999999999872e-02,1.271157823070605784e-03,-1.664253328752932949e-04
2.299999999999999961e-02,1.666960232247161706e-03,-7.859260326421064081e-04
2.400000000000000050e-02,9.216504192500209712e-04,-1.516552321328161999e-03
2.500000000000000139e-02,8.319388109291798745e-04,-7.284603231314850042e-04
2.600000000000000228e-02,1.318181446009049872e-03,-1.928578946905244122e-03
2.699999999999999969e-02,1.194716425525917851e-03,-1.334740892081782201e-03
2.800000000000000058e-02,1.931302459009805184e-03,-6.075972510357574791e-04
2.900000000000000147e-02,9.556309390185852839e-04,-1.388909881966200396e-03
2.999999999999999889e-02,2.292661804319909812e-03,-1.867697517635384403e-03
3.099999999999999978e-02,1.067686287679114670e-03,-2.202156409521488587e-03
3.200000000000000067e-02,5.695025816271884114e-04,-1.660265904281708720e-04
3.300000000000000155e-02,1.443574956027830671e-03,-5.251274924699890663e-04
3.400000000000000244e-02,1.785541947322581572e-03,-6.760085432884260434e-04
3.500000000000000333e-02,2.299336744414466616e-03,-1.796215281000426147e-03
3.600000000000000422e-02,1.642696736842473668e-03,-1.671013314458355678e-03
3.699999999999999817e-02,9.420257566784868844e-04,-1.769915995111341579e-03
3.799999999999999906e-02,9.384692280182951526e-04,-1.874120188369096966e-03
3.899999999999999994e-02,1.735019775499202152e-03,-1.747175691848882988e-03
4.000000000000000083e-02,1.305517156744424477e-03,-2.150752931118690529e-03
4.100000000000000172e-02,1.914628637267306883e-03,-2.080782443739619906e-03
4.200000000000000261e-02,1.145560841810801950e-03,-9.971955275691821163e-04
4.300000000000000350e-02,1.735862104064367058e-03,-1.701095269184149921e-03
4.399999999999999745e-02,1.417203075053823308e-03,-2.962075195686851049e-03
4.499999999999999833e-02,1.765091500281948562e-03,-2.833776880639688866e-03
4.599999999999999922e-02,8.400717430564966096e-04,-1.515168366362522247e-03
4.700000000000000011e-02,1.879340953499167820e-03,-1.350794315246593800e-03
4.800000000000000100e-02,1.529210545848107630e-03,-2.049942995554474706e-03
4.900000000000000189e-02,1.727961690420902821e-03,-7.095654996497075678e-04
5.000000000000000278e-02,1.321089748246035128e-03,-1.861751013547680586e-03
5.100000000000000366e-02,2.088891327503937002e-03,-2.321688347650366531e-03
5.200000000000000455e-02,2.621496959700618523e-03,-2.211553768066512951e-03
5.299999999999999850e-02,2.299479496200578128e-03,-3.167256640920877372e-03
5.399999999999999939e-02,2.732861369504992199e-03,-2.689427227983937595e-03
5.500000000000000028e-02,2.669725691926702095e-03,-3.873197478791014746e-03
5.600000000000000117e-02,1.091094363310433739e-03,-3.173196962603264983e-03
5.700000000000000205e-02,2.309764214757290685e-03,-2.162979075232954618e-03
5.800000000000000294e-02,1.984292498791539235e-03,-2.169178168740446000e-03
5.900000000000000383e-02,1.336465938117449397e-03,-3.834602390675910348e-03
5.999999999999999778e-02,1.720759335755816469e-03,-3.782896935688824167e-03
6.099999999999999867e-02,2.707373835028858457e-03,-3.984032333588889349e-03
6.199999999999999956e-02,2.700422037089723285e-03,-2.214015712213589053e-03
6.300000000000000044e-02,1.628279338596420704e-03,-2.287455263241118010e-03
6.400000000000000133e-02,2.523930223492642545e-03,-2.497174399862968266e-03
6.500000000000000222e-02,3.105739016806995188e-03,-5.257026002654737254e-03
6.600000000000000311e-02,2.442457218644651304e-03,-3.819638963589079388e-03
6.700000000000000400e-02,3.225266436044526078e-03,-3.617254450369331974e-03
6.800000000000000488e-02,3.025887167369546282e-03,-3.001883022303258961e-03
6.900000000000000577e-02,1.761414921474942566e-03,-2.788827032142679810e-03
7.000000000000000666e-02,2.714656952614811006e-03,-2.285811229049936576e-03
7.100000000000000755e-02,1.247569218071149484e-03,-2.705141363430419756e-03
7.200000000000000844e-02,2.714605022862498062e-03,-4.676397290963674701e-03
7.299999999999999545e-02,2.221870860913309747e-03,-3.712685153654137881e-03
7.399999999999999634e-02,2.307609942195841708e-03,-3.383342258347750431e-03
7.499999999999999722e-02,2.423117105459878483e-03,-4.505575584459738797e-03
7.599999999999999811e-02,2.868379741456585693e-03,-4.990632109430837710e-03
7.699999999999999900e-02,2.417477729894626417e-03,-3.282238791800324348e-03
7.799999999999999989e-02,2.513800055344411408e-03,-3.282180224983315825e-03
7.900000000000000078e-02,3.568657283081754471e-03,-6.136986267514037488e-03
8.000000000000000167e-02,2.713384120663312783e-03,-4.534952125094511219e-03
8.100000000000000255e-02,1.831710135588942700e-03,-4.540784615410814289e-03
8.200000000000000344e-02,3.278958367982424699e-03,-4.643180506973547568e-03
8.300000000000000433e-02,3.051174668071419179e-03,-5.225382745740872470e-03
8.400000000000000522e-02,2.746810592042098209e-03,-4.483386798814236775e-03
8.500000000000000611e-02,2.681212581142556912e-03,-5.167077198408385162e-03
8.600000000000000699e-02,2.156885069078941231e-03,-5.403489545984962138e-03
8.700000000000000788e-02,1.938570433925189971e-03,-4.862701746213277457e-03
8.799999999999999489e-02,2.422427592520312329e-03,-5.441480539633709521e-03
8.899999999999999578e-02,2.923658053077293848e-03,-5.085096318113291672e-03
