Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-6.767433547712710905e-03,-5.510083013703997827e-03
3.000000000000000062e-03,-5.628404131719683817e-03,-8.892335298493501961e-03
4.000000000000000083e-03,-1.209374286120852744e-03,-2.168465038018639081e-03
5.000000000000000104e-03,-2.972855191652900089e-03,-2.466823410270650285e-03
6.000000000000000125e-03,-2.513044604694337440e-03,2.801210223252951874e-03
7.000000000000000146e-03,-4.473433263564027124e-03,-5.504204413954104889e-03
8.000000000000000167e-03,-1.917643038600571649e-03,-1.827487794640381309e-03
9.000000000000001055e-03,-3.691180669304932292e-03,8.222669610118292418e-04
1.000000000000000021e-02,-9.096230520202579217e-04,7.667077204229635163e-04
1.099999999999999936e-02,-6.294978536710642628e-03,2.132792254931293631e-03
1.200000000000000025e-02,-6.474716300572013611e-03,-1.198211923442515838e-03
1.300000000000000114e-02,-3.855502761519519119e-03,-2.072571676938643210e-03
1.400000000000000029e-02,-4.673632511918712762e-05,-2.882717495002056624e-03
1.499999999999999944e-02,1.495382953063664137e-04,8.948549223937351388e-03
1.600000000000000033e-02,2.315972396683438610e-03,-4.083828769715859910e-03
1.700000000000000122e-02,7.752098066813423519e-03,-5.720138812967504559e-03
1.800000000000000211e-02,-1.258314878153271935e-02,-8.871304512375081594e-03
1.899999999999999953e-02,-3.750458248435985242e-03,-1.035115983205603385e-07
2.000000000000000042e-02,-6.408312072094327246e-03,-4.835588237596418273e-03
2.100000000000000130e-02,-1.449449699280696939e-03,3.093630319482868103e-03
2.199999999999999872e-02,3.704177761096046767e-03,2.420152781413869442e-03
2.299999999999999961e-02,9.092593218830222548e-03,1.844863202975713249e-03
2.400000000000000050e-02,-1.223620013915002747e-03,2.618028723596659696e-03
2.500000000000000139e-02,-9.975264901757319169e-03,-5.732643282175697678e-03
2.600000000000000228e-02,-5.910302182303544746e-03,1.001934134368352713e-04
2.699999999999999969e-02,4.561769086282728598e-03,2.520402555025092004e-03
2.800000000000000058e-02,-1.807202860415103689e-03,9.320952774100395299e-03
2.900000000000000147e-02,3.210830559275122328e-03,-2.018665629219488361e-03
2.999999999999999889e-02,6.576207411498961354e-03,-7.870782404044381064e-03
3.099999999999999978e-02,1.645269081178136680e-03,-1.557844755374549438e-03
3.200000000000000067e-02,4.455676331997256504e-03,5.122130336710594214e-03
3.300000000000000155e-02,-2.102765018083098750e-04,-3.390546914989580121e-04
3.400000000000000244e-02,-9.790827410737813763e-04,-3.020154143608968621e-03
3.500000000000000333e-02,1.563932090161349823e-03,-1.196066033333977041e-03
3.600000000000000422e-02,3.053800045191130096e-03,6.922292668351775861e-03
3.699999999999999817e-02,-1.300195256308722160e-03,5.240422113221945496e-03
3.799999999999999906e-02,-7.100873494904460896e-03,4.006845990802002273e-03
3.899999999999999994e-02,6.226835979541892052e-03,-6.021459182566336020e-03
4.000000000000000083e-02,7.334925129265656291e-03,-7.551837367593038086e-03
4.100000000000000172e-02,3.390277458509664398e-03,6.735100560280376722e-04
4.200000000000000261e-02,-4.070808069767458716e-03,-1.004093478579986404e-02
4.300000000000000350e-02,2.794388566493069548e-03,-3.472558064870442072e-03
4.399999999999999745e-02,-7.800079487033317882e-03,-2.496831641741081853e-03
4.499999999999999833e-02,-5.375219882593432891e-04,2.991825683240223119e-03
4.599999999999999922e-02,9.108302996387047934e-03,-1.659018349759128728e-03
4.700000000000000011e-02,4.516483086005431899e-03,-2.009379636991842459e-03
4.800000000000000100e-02,2.910090291442709969e-03,3.591040370006379472e-03
4.900000000000000189e-02,4.838368792682224556e-03,1.978587080165685255e-03
5.000000000000000278e-02,3.041279815871303274e-03,-4.654732513271713293e-03
5.100000000000000366e-02,6.567444321176368893e-03,-1.547351697540570205e-03
5.200000000000000455e-02,4.172528853059994172e-03,-4.182471350152566769e-03
5.299999999999999850e-02,-2.020007743022348388e-03,-7.352275596389583681e-03
5.399999999999999939e-02,8.665138816740084599e-03,-1.388759413264877875e-03
5.500000000000000028e-02,4.006175750113108620e-03,2.099074350931972970e-03
5.600000000000000117e-02,3.672004786081086054e-03,3.266134946429824232e-03
5.700000000000000205e-02,-2.973216283750564157e-03,2.164444616081877531e-03
5.800000000000000294e-02,-2.617009146610067838e-03,-1.617196055704202967e-03
5.900000000000000383e-02,-1.002592296667857014e-04,-1.801580394098674376e-04
5.999999999999999778e-02,4.795759745747021235e-04,-9.790931116639824486e-05
6.099999999999999867e-02,9.665933770055167018e-03,-6.661788576712905814e-03
6.199999999999999956e-02,5.465344657404542714e-03,-3.380582090738908172e-03
6.300000000000000044e-02,1.470128184516744305e-02,-3.722723718884648255e-03
6.400000000000000133e-02,5.347183884484222119e-03,9.020822854243449804e-04
6.500000000000000222e-02,-4.288800307243294772e-03,6.850195012477579629e-03
6.600000000000000311e-02,3.064305441620195081e-03,2.717319747812608002e-04
6.700000000000000400e-02,5.570211310069494645e-03,-4.189343967611053668e-03
6.800000000000000488e-02,4.954623811133207489e-03,-5.444862293156649095e-03
6.900000000000000577e-02,1.985358330022387024e-03,1.135249184398487432e-05
7.000000000000000666e-02,8.368244163061406768e-03,8.993458870986365677e-03
7.100000000000000755e-02,2.497077419606363868e-03,8.375019903477012861e-03
7.200000000000000844e-02,2.097323004729825368e-03,-4.353126824293012884e-03
7.299999999999999545e-02,5.698893600380850952e-03,-2.108931478911810903e-03
7.399999999999999634e-02,9.858382232123943933e-03,1.982365329425177930e-03
7.499999999999999722e-02,7.824293781815707186e-03,-2.022251322990136890e-03
7.599999999999999811e-02,8.260609921543080048e-03,-3.146872637802964300e-03
7.699999999999999900e-02,1.337744033815805103e-02,2.883277018367508531e-03
7.799999999999999989e-02,1.161562287075491862e-02,6.614742250180372790e-03
7.900000000000000078e-02,4.102838001494855599e-03,-5.145613677758929978e-03
8.000000000000000167e-02,1.196233085347439898e-02,-6.560269517234678348e-03
8.100000000000000255e-02,1.275395335597262654e-02,-3.719311053638481128e-03
8.200000000000000344e-02,3.829175996965417106e-03,5.721766571154403812e-03
