Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-4.609218753257617734e-03,3.899191699245917447e-03
3.000000000000000062e-03,6.211041764621084808e-03,-2.619005955141411046e-03
4.000000000000000083e-03,-3.705434063753170783e-03,-9.330321200447553448e-03
5.000000000000000104e-03,-4.692131116678802463e-03,4.421695498906447197e-03
6.000000000000000125e-03,-2.610901038033687852e-03,7.286528522963203573e-03
7.000000000000000146e-03,7.044784985568500191e-03,7.418966812751254247e-04
8.000000000000000167e-03,-1.909766887953511308e-03,-5.679206200480449093e-03
9.000000000000001055e-03,-5.526233076964874764e-03,-4.781371926831022925e-03
1.000000000000000021e-02,-5.127296680914827064e-03,6.502121758022129036e-04
1.099999999999999936e-02,3.563353396180144253e-03,5.791884713581433924e-04
1.200000000000000025e-02,-3.328436729786562066e-03,-1.672047758386277028e-03
1.300000000000000114e-02,-5.795093714534070226e-03,-9.547736827745170393e-03
1.400000000000000029e-02,-6.161712929247990800e-03,3.290102233903750145e-04
1.499999999999999944e-02,4.822352183226688398e-03,4.607218687514472817e-04
1.600000000000000033e-02,9.418468906252547984e-03,-2.312055574237667326e-03
1.700000000000000122e-02,-8.606763110673917860e-04,3.069268935163398972e-03
1.800000000000000211e-02,-1.228423692996650878e-02,3.760675873082278999e-03
1.899999999999999953e-02,-5.235285278891758758e-03,2.936066736693087372e-03
2.000000000000000042e-02,-3.652496607457546805e-03,-3.021917008342255104e-03
2.100000000000000130e-02,-4.697651267845577919e-03,-8.443076099763569681e-03
2.199999999999999872e-02,-7.899683118609166985e-03,-2.044956480819253020e-03
2.299999999999999961e-02,4.738382398975365950e-03,6.586049084293462037e-03
2.400000000000000050e-02,4.104060269994237557e-03,2.088427612917825339e-03
2.500000000000000139e-02,-1.753442356396161736e-03,-2.131985126526765931e-03
2.600000000000000228e-02,-5.208747173312035413e-03,-2.927597348738562432e-03
2.699999999999999969e-02,-4.394562425409671326e-03,-3.641288298634526299e-03
2.800000000000000058e-02,-5.614584999704515939e-03,3.194839937794403863e-03
2.900000000000000147e-02,-5.237091419985785007e-04,1.410967756535856914e-03
2.999999999999999889e-02,-2.547383430235418758e-03,3.251531657719125903e-03
3.099999999999999978e-02,-1.371399002823492710e-02,-7.448771080544635062e-03
3.200000000000000067e-02,-1.787275219366576962e-02,-1.794886330898738842e-03
3.300000000000000155e-02,-4.617501632301894421e-03,1.294046282957627032e-03
3.400000000000000244e-02,-4.173343741590665110e-03,-3.048921637179177486e-03
3.500000000000000333e-02,1.776174720926582476e-03,1.096089111900117388e-03
3.600000000000000422e-02,-2.975639169221946760e-03,-4.002005803957230969e-03
3.699999999999999817e-02,-6.184761109255486160e-03,7.934973164561015535e-03
3.799999999999999906e-02,-8.057075507798133751e-03,-5.439332243312581736e-03
3.899999999999999994e-02,-6.024137858000875798e-03,-1.414557789063504087e-03
4.000000000000000083e-02,-1.565713369105425218e-02,-3.902192645261693977e-03
4.100000000000000172e-02,-1.188865640690461162e-02,-6.180536696465412615e-04
4.200000000000000261e-02,-6.164950087992383115e-03,5.572687410657825233e-03
4.300000000000000350e-02,-5.742187889836875350e-03,-7.821382733937665838e-03
4.399999999999999745e-02,1.175397968800808574e-04,-6.207804963822487893e-03
4.499999999999999833e-02,-1.303121654581301282e-02,-6.743485844092006812e-03
4.599999999999999922e-02,-7.565068234531690389e-03,1.559529854552633987e-03
4.700000000000000011e-02,-2.268118646534798312e-03,-4.765670214823160625e-03
4.800000000000000100e-02,-3.524482815061508525e-03,4.845519760379726586e-03
4.900000000000000189e-02,-1.874299384364319990e-02,-5.513267303239412394e-03
5.000000000000000278e-02,-1.728616269954079063e-02,-5.571446281346858001e-03
5.100000000000000366e-02,-5.225994313754754247e-03,-4.226678745049197022e-05
5.200000000000000455e-02,-7.496141228308435961e-03,7.550569133824889352e-04
5.299999999999999850e-02,-9.739475839433773402e-03,-2.221261095827608851e-03
5.399999999999999939e-02,-2.349201216191743741e-04,9.024712880077882804e-03
5.500000000000000028e-02,-3.918590523156111755e-03,-9.145405702103513029e-04
5.600000000000000117e-02,-1.473180650695980580e-02,-1.124531561988587579e-02
5.700000000000000205e-02,-7.394859319908834820e-03,4.767831566727154941e-03
5.800000000000000294e-02,-1.615660845242433696e-02,8.669661816515607244e-03
5.900000000000000383e-02,-1.550401483024719564e-02,4.461319208303439650e-03
5.999999999999999778e-02,-1.516305071519681927e-02,-5.642499384951102717e-03
6.099999999999999867e-02,-9.404055291135129599e-03,6.260746973550839097e-03
6.199999999999999956e-02,-8.251165316141357425e-03,4.970677125991881593e-03
6.300000000000000044e-02,-2.205664445953017111e-02,-8.662540044363797181e-03
6.400000000000000133e-02,-1.332692693511767883e-02,-1.299107429805996389e-02
6.500000000000000222e-02,-9.100077318126960357e-03,3.473081422195987630e-03
6.600000000000000311e-02,-1.419391768084939109e-02,1.376531084363264920e-04
6.700000000000000400e-02,-8.551044622685683230e-03,-7.510332802868073445e-04
6.800000000000000488e-02,-1.465290222923441854e-02,-1.153967617302100379e-03
6.900000000000000577e-02,-1.489885123273432602e-02,9.417644607425501579e-03
7.000000000000000666e-02,-1.576892168375928008e-02,1.468450217140565561e-03
7.100000000000000755e-02,-1.683506661706668864e-02,-3.573813214022426854e-03
7.200000000000000844e-02,-1.263239191374179900e-02,5.789476606144400295e-03
7.299999999999999545e-02,-1.425442748250237320e-02,9.157964319939674788e-03
7.399999999999999634e-02,-2.300860486186065423e-02,-1.348548208296699094e-03
7.499999999999999722e-02,-1.657695658658714030e-02,-4.503481006744209508e-03
7.599999999999999811e-02,-6.663896022990120974e-03,8.108805306421070988e-03
7.699999999999999900e-02,-8.645105033001438538e-03,5.999373816012911441e-03
7.799999999999999989e-02,-1.600105727168821268e-02,4.155458090045734652e-03
7.900000000000000078e-02,-1.644747091921362064e-02,3.803461844066812272e-03
8.000000000000000167e-02,-1.570481605191290791e-02,9.586282289472822238e-03
