Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-3.963099117096930551e-02,1.401625685864626904e-03
3.000000000000000062e-03,-3.581499220060713196e-02,1.312330337777914066e-02
4.000000000000000083e-03,1.658659123266431612e-03,3.548381192743825865e-03
5.000000000000000104e-03,-4.035965023991039922e-03,-2.362524169083389178e-03
6.000000000000000125e-03,-6.091049587643742984e-03,2.661715640838930360e-03
7.000000000000000146e-03,1.213948129314200083e-02,7.195044047985077983e-03
8.000000000000000167e-03,-7.880191697855616975e-03,-2.508924556604180331e-02
9.000000000000001055e-03,-2.398447745775435930e-02,-8.377098591621456175e-03
1.000000000000000021e-02,-2.542886051694693769e-02,4.371446106792154299e-03
1.099999999999999936e-02,-2.485700728661163414e-02,3.128166114051258821e-03
1.200000000000000025e-02,-3.810935160720476528e-02,2.253366926335226110e-04
1.300000000000000114e-02,-2.804076875169735084e-02,-1.438451729633906384e-02
1.400000000000000029e-02,-4.862329257516179865e-02,2.419019758381251578e-03
1.499999999999999944e-02,-1.144375792887223492e-02,4.065156672224146117e-02
1.600000000000000033e-02,5.104910660322278457e-03,-4.223483335917599391e-03
1.700000000000000122e-02,-3.419132288672987324e-02,2.117596760715896587e-02
1.800000000000000211e-02,-3.223798790958187083e-02,-9.495918781028452743e-03
1.899999999999999953e-02,-3.461791405238433261e-02,-1.592341419496953389e-03
2.000000000000000042e-02,-2.574955870770089666e-02,-3.796886048763467580e-02
2.100000000000000130e-02,-2.721096783381173750e-02,-3.414394490869386567e-02
2.199999999999999872e-02,-3.928204252355294718e-02,-9.288827344930850743e-03
2.299999999999999961e-02,-1.609099072002885544e-03,1.791744915106400007e-03
2.400000000000000050e-02,-8.001021532965627014e-03,1.186462693460373606e-02
2.500000000000000139e-02,-4.389494811979818834e-02,-7.112805296529299201e-03
2.600000000000000228e-02,-6.510303070818447557e-02,-2.972439479987546568e-02
2.699999999999999969e-02,-1.921364131551650534e-02,-2.026547414274096348e-02
2.800000000000000058e-02,-1.185968904892210907e-02,-1.581541061479962290e-02
2.900000000000000147e-02,-3.078896595672559952e-02,-2.270743739725142318e-02
2.999999999999999889e-02,-5.279834177169346471e-02,-1.094580591802285160e-02
3.099999999999999978e-02,-4.256287748144609029e-02,5.609348403895476204e-03
3.200000000000000067e-02,-4.186600838815122266e-02,3.849083605478650395e-03
3.300000000000000155e-02,-4.530867642030654563e-02,-4.222028742468136864e-02
3.400000000000000244e-02,-1.631925089759741002e-02,-3.075591785051559612e-02
3.500000000000000333e-02,-3.718632808448843474e-02,-4.949989217428889254e-03
3.600000000000000422e-02,-4.009821510151411611e-02,-9.220894167668683070e-03
3.699999999999999817e-02,-1.196380143912516292e-02,-1.184292149089158364e-02
3.799999999999999906e-02,-3.822796527372678693e-02,-3.722762711228799759e-02
3.899999999999999994e-02,-2.316237628021561995e-02,-1.965779674428863588e-02
4.000000000000000083e-02,-3.716101918481067024e-02,-2.736653425015666413e-02
4.100000000000000172e-02,-1.215618713780249049e-02,-1.736075609086101812e-02
4.200000000000000261e-02,-2.856035692822954386e-02,-9.321315974158165749e-03
4.300000000000000350e-02,-1.170491306020781178e-02,-1.916782417829612437e-02
4.399999999999999745e-02,-2.046692804307732524e-02,-2.154565827037453751e-02
4.499999999999999833e-02,-4.982236327350749588e-02,-5.618910608696330022e-02
4.599999999999999922e-02,-6.180200453426171192e-02,-8.557023580426731391e-03
4.700000000000000011e-02,-4.550541472160736511e-02,-2.354914148102488919e-02
4.800000000000000100e-02,-3.423055237055235012e-02,-3.347217701092222719e-02
4.900000000000000189e-02,-3.699486831718185043e-02,-9.321438152877552230e-03
5.000000000000000278e-02,-5.504230731456141723e-02,-3.723285549334193201e-02
5.100000000000000366e-02,-6.029410950778325146e-02,2.657904586821843718e-04
5.200000000000000455e-02,-2.936565735911761399e-02,-4.229335378268589407e-02
5.299999999999999850e-02,-3.006706987680313192e-02,-4.798320949209381597e-02
5.399999999999999939e-02,-3.331189861317854911e-02,-2.639796500068460061e-02
5.500000000000000028e-02,-4.241963781019977842e-02,-3.493410216328937667e-02
5.600000000000000117e-02,-3.400596877964447151e-02,-5.737113652019013715e-03
5.700000000000000205e-02,-2.467469919706834908e-02,-8.745846920711680336e-03
5.800000000000000294e-02,-4.485077324475246485e-02,8.047947850370605269e-03
5.900000000000000383e-02,-3.226206666568615100e-02,-2.163204937074247880e-02
5.999999999999999778e-02,-4.581632280979910238e-02,-2.148263501210719711e-02
6.099999999999999867e-02,-4.479659649967229068e-02,-2.252061390741017313e-02
6.199999999999999956e-02,-5.000347507574216810e-02,-4.672966832845423801e-02
6.300000000000000044e-02,-4.664271189215043328e-02,-4.593735661609827520e-02
6.400000000000000133e-02,-7.157893163719396268e-02,-1.124686154740471566e-02
6.500000000000000222e-02,-5.504793047539694589e-02,5.763838403954306064e-03
6.600000000000000311e-02,-5.831427998702794907e-02,6.828653306035837797e-03
6.700000000000000400e-02,-4.147467530833284788e-02,-3.564466117046712068e-02
6.800000000000000488e-02,-4.365725048830025601e-02,-2.034212174880043605e-02
6.900000000000000577e-02,-4.875314694515690134e-02,-1.640453944367975536e-02
7.000000000000000666e-02,-6.812704857434699612e-02,-1.651607749659059557e-02
7.100000000000000755e-02,-6.053164817425096128e-02,-1.167605373960506343e-02
7.200000000000000844e-02,-3.164645998508271163e-02,-2.140191585056866463e-02
7.299999999999999545e-02,-5.474668266786882065e-02,-2.237895034666797719e-02
7.399999999999999634e-02,-5.426530243166805684e-02,-2.559170948530477274e-02
7.499999999999999722e-02,-3.723291660232809497e-02,-2.162785657633620878e-02
7.599999999999999811e-02,-3.973536504609721104e-02,-1.023574419668459023e-03
7.699999999999999900e-02,-3.835179942621989857e-02,-9.131465530961762472e-03
7.799999999999999989e-02,-5.867656724940083224e-02,2.419772268218415082e-03
7.900000000000000078e-02,-7.713842316617026962e-02,-1.990627623315249436e-02
8.000000000000000167e-02,-5.728139929465299318e-02,-3.935536515629226711e-03
8.100000000000000255e-02,-6.174480787952302263e-02,-2.043817550742389744e-02
8.200000000000000344e-02,-6.061957606986906333e-02,-2.586229613091753365e-02
8.300000000000000433e-02,-6.684831752258091342e-02,-2.124720351828053924e-02
8.400000000000000522e-02,-4.450243792310040747e-02,-6.738333807288115693e-03
8.500000000000000611e-02,-4.897387586292004796e-02,2.439884129147969899e-03
8.600000000000000699e-02,-6.594249964071008385e-02,-5.703039833953036861e-03
8.700000000000000788e-02,-6.176917364641944241e-02,-2.433862664255739133e-02
