Time,Position
1.000000000000000021e-03,0.000000000000000000e+00
2.000000000000000042e-03,2.513552280224775302e-03
3.000000000000000062e-03,2.945571463306616723e-03
4.000000000000000083e-03,-7.853770474450861780e-03
5.000000000000000104e-03,-8.316286644667566716e-03
6.000000000000000125e-03,-4.979754049024964942e-03
7.000000000000000146e-03,-3.851328479635473048e-04
8.000000000000000167e-03,-3.718673037003214759e-03
9.000000000000001055e-03,-6.139917075093728055e-03
1.000000000000000021e-02,-1.537907509604533561e-02
1.099999999999999936e-02,-1.518032943601038860e-02
1.200000000000000025e-02,-9.372802067473571391e-03
1.300000000000000114e-02,-6.796439370934021819e-03
1.400000000000000029e-02,-7.471707387690713909e-03
1.499999999999999944e-02,-1.005138240740030553e-02
1.600000000000000033e-02,-1.571511482428979145e-02
1.700000000000000122e-02,-1.794063916175998169e-02
1.800000000000000211e-02,-2.218111973830521125e-02
1.899999999999999953e-02,-2.054014379013281710e-02
2.000000000000000042e-02,-9.321514549279328113e-03
2.100000000000000130e-02,-6.389968354814783667e-03
2.199999999999999872e-02,-9.237245154561604665e-03
2.299999999999999961e-02,-1.277717700073795204e-02
2.400000000000000050e-02,-1.693287183351954717e-02
2.500000000000000139e-02,-2.068866246680298865e-02
2.600000000000000228e-02,-1.722935677319479067e-02
2.699999999999999969e-02,-1.228002271406022222e-02
2.800000000000000058e-02,-5.580258503635674230e-03
2.900000000000000147e-02,-7.466220216591760127e-03
2.999999999999999889e-02,-9.560962957714608246e-03
3.099999999999999978e-02,-1.116914091330662405e-02
3.200000000000000067e-02,-7.316456117569583237e-03
3.300000000000000155e-02,-6.422269318283016677e-03
3.400000000000000244e-02,-7.911639036062801875e-03
3.500000000000000333e-02,-7.777347799480449284e-03
3.600000000000000422e-02,-5.767604768222620894e-03
3.699999999999999817e-02,3.121746128711297592e-03
3.799999999999999906e-02,5.079090526686261091e-03
3.899999999999999994e-02,8.038255872412391687e-03
4.000000000000000083e-02,9.205994789483536167e-03
4.100000000000000172e-02,8.703711526037462981e-03
4.200000000000000261e-02,1.177077226717420169e-02
4.300000000000000350e-02,1.838871072982933841e-02
4.399999999999999745e-02,2.633825197767569043e-02
4.499999999999999833e-02,3.387417088131600140e-02
4.599999999999999922e-02,3.863874450458762433e-02
4.700000000000000011e-02,3.620358182574991146e-02
4.800000000000000100e-02,3.473879977536507846e-02
4.900000000000000189e-02,3.872855466163974136e-02
5.000000000000000278e-02,4.460705178991550973e-02
5.100000000000000366e-02,4.874711036955890059e-02
5.200000000000000455e-02,5.547398498791351884e-02
5.299999999999999850e-02,6.126287488179239099e-02
5.399999999999999939e-02,6.447823370094557527e-02
5.500000000000000028e-02,7.407597348264660653e-02
5.600000000000000117e-02,7.276598049329616180e-02
5.700000000000000205e-02,7.231038153728712448e-02
5.800000000000000294e-02,7.346115783689766143e-02
5.900000000000000383e-02,7.493337091015747631e-02
5.999999999999999778e-02,8.184077168136764946e-02
6.099999999999999867e-02,8.423958223581462512e-02
6.199999999999999956e-02,8.889165584259731134e-02
6.300000000000000044e-02,9.721415697512925114e-02
6.400000000000000133e-02,1.020302013129091856e-01
6.500000000000000222e-02,1.078793971148572090e-01
6.600000000000000311e-02,1.165547015878828085e-01
6.700000000000000400e-02,1.156500705497437581e-01
6.800000000000000488e-02,1.197754111491379364e-01
6.900000000000000577e-02,1.222278139823895632e-01
7.000000000000000666e-02,1.268388123174812310e-01
7.100000000000000755e-02,1.322328050623117479e-01
7.200000000000000844e-02,1.362027547749083967e-01
7.299999999999999545e-02,1.350099248622629589e-01
7.399999999999999634e-02,1.418348644018179450e-01
7.499999999999999722e-02,1.485225571001398681e-01
