Time,Position
1.000000000000000021e-03,0.000000000000000000e+00
2.000000000000000042e-03,3.459517065254187856e-04
3.000000000000000062e-03,1.239863309643093187e-02
4.000000000000000083e-03,1.332189707881414886e-02
5.000000000000000104e-03,1.261104895973007463e-02
6.000000000000000125e-03,1.381636672475122785e-02
7.000000000000000146e-03,1.199968283819724361e-02
8.000000000000000167e-03,1.099351195086743609e-02
9.000000000000001055e-03,1.917044790491081660e-02
1.000000000000000021e-02,2.175387111145563046e-02
1.099999999999999936e-02,2.069612695884801706e-02
1.200000000000000025e-02,1.836873819782764219e-02
1.300000000000000114e-02,1.899913694570795272e-02
1.400000000000000029e-02,2.111001312851583378e-02
1.499999999999999944e-02,2.339428540946405718e-02
1.600000000000000033e-02,2.669520093219828263e-02
1.700000000000000122e-02,2.489725701682155012e-02
1.800000000000000211e-02,2.662594397581447697e-02
1.899999999999999953e-02,3.018993364646386374e-02
2.000000000000000042e-02,3.353725208514250766e-02
2.100000000000000130e-02,3.301151298535377754e-02
2.199999999999999872e-02,3.154688327728204233e-02
2.299999999999999961e-02,3.467521345026269158e-02
2.400000000000000050e-02,2.916171591672571048e-02
2.500000000000000139e-02,2.863843033584299522e-02
2.600000000000000228e-02,3.100300875289326713e-02
2.699999999999999969e-02,2.823221093840356383e-02
2.800000000000000058e-02,2.620882197704792888e-02
2.900000000000000147e-02,2.407743077361918990e-02
2.999999999999999889e-02,2.641702896409077114e-02
3.099999999999999978e-02,2.891259939636030285e-02
3.200000000000000067e-02,2.132788249602719441e-02
3.300000000000000155e-02,2.368680703896394041e-02
3.400000000000000244e-02,2.971269491635403562e-02
3.500000000000000333e-02,3.044136873022834644e-02
3.600000000000000422e-02,3.245078867613787610e-02
3.699999999999999817e-02,3.068332791584015701e-02
3.799999999999999906e-02,2.897774736008493224e-02
3.899999999999999994e-02,2.734614456914644456e-02
4.000000000000000083e-02,3.041791013827294110e-02
4.100000000000000172e-02,2.660259903899219944e-02
4.200000000000000261e-02,2.240373804294979940e-02
4.300000000000000350e-02,3.219490792369297111e-02
4.399999999999999745e-02,3.319920293998924327e-02
4.499999999999999833e-02,3.235615484858057195e-02
4.599999999999999922e-02,3.219330697052468632e-02
4.700000000000000011e-02,4.055848645809313757e-02
4.800000000000000100e-02,4.338312832351322312e-02
4.900000000000000189e-02,4.217845596402344799e-02
5.000000000000000278e-02,3.774348397049682308e-02
5.100000000000000366e-02,3.532611800874208702e-02
5.200000000000000455e-02,4.028570408385361012e-02
5.299999999999999850e-02,4.795532887274042699e-02
5.399999999999999939e-02,4.706293754085936337e-02
5.500000000000000028e-02,4.401317451657345281e-02
5.600000000000000117e-02,4.540121518699877928e-02
5.700000000000000205e-02,4.657793523542188424e-02
5.800000000000000294e-02,4.029628676804286602e-02
5.900000000000000383e-02,4.670830359439243074e-02
5.999999999999999778e-02,5.012494210604187539e-02
6.099999999999999867e-02,4.928386186917198958e-02
6.199999999999999956e-02,4.773605707004058285e-02
6.300000000000000044e-02,5.008753243722018772e-02
6.400000000000000133e-02,4.968445060622234816e-02
6.500000000000000222e-02,4.911099935739041827e-02
6.600000000000000311e-02,4.486340765516432655e-02
6.700000000000000400e-02,4.937208304558911992e-02
6.800000000000000488e-02,5.133039650959436706e-02
6.900000000000000577e-02,4.741127408675348265e-02
7.000000000000000666e-02,4.319760142036627171e-02
7.100000000000000755e-02,4.211671459171164450e-02
7.200000000000000844e-02,3.925599305046480886e-02
7.299999999999999545e-02,3.640373009480276506e-02
7.399999999999999634e-02,3.934198982204210188e-02
