Time,Position
1.000000000000000021e-03,0.000000000000000000e+00
2.000000000000000042e-03,-1.549986877491006665e-02
3.000000000000000062e-03,-5.942990466708568051e-03
4.000000000000000083e-03,3.418637315014868422e-02
5.000000000000000104e-03,5.771814891035483008e-02
6.000000000000000125e-03,4.598286329010897039e-02
7.000000000000000146e-03,-4.012469322961301210e-04
8.000000000000000167e-03,-8.520476012178215819e-03
9.000000000000001055e-03,6.683179326665575695e-03
1.000000000000000021e-02,3.172811062086661887e-02
1.099999999999999936e-02,2.231966483304697116e-02
1.200000000000000025e-02,4.253997688121964604e-03
1.300000000000000114e-02,1.941748541453681455e-03
1.400000000000000029e-02,2.385417280244223406e-02
1.499999999999999944e-02,1.189284414707668207e-02
1.600000000000000033e-02,8.796931659272762272e-03
1.700000000000000122e-02,3.050211034736106247e-02
1.800000000000000211e-02,1.590128359182620132e-02
1.899999999999999953e-02,2.918967933968261846e-02
2.000000000000000042e-02,4.276409479636773814e-02
2.100000000000000130e-02,5.697591598062567292e-02
2.199999999999999872e-02,4.379723027466887048e-02
2.299999999999999961e-02,5.256422108577970403e-02
2.400000000000000050e-02,7.563571363902274469e-02
2.500000000000000139e-02,7.875795213805282524e-02
2.600000000000000228e-02,7.550832830078035851e-02
2.699999999999999969e-02,6.216760015590028221e-02
2.800000000000000058e-02,7.277778306963701704e-02
2.900000000000000147e-02,7.094956919364973913e-02
2.999999999999999889e-02,9.971948331633077867e-02
3.099999999999999978e-02,9.723903102683645328e-02
3.200000000000000067e-02,1.117243763618972485e-01
3.300000000000000155e-02,1.151520355985522770e-01
3.400000000000000244e-02,9.065646506075483724e-02
3.500000000000000333e-02,9.011316748838854584e-02
3.600000000000000422e-02,1.138917348664803264e-01
3.699999999999999817e-02,1.189244808353895205e-01
3.799999999999999906e-02,1.277052901545533137e-01
3.899999999999999994e-02,1.657441534892823976e-01
4.000000000000000083e-02,1.533192640193826173e-01
4.100000000000000172e-02,1.746438685833766047e-01
4.200000000000000261e-02,2.048321676276269043e-01
4.300000000000000350e-02,1.938311278151731154e-01
4.399999999999999745e-02,1.812786821962488748e-01
4.499999999999999833e-02,1.564619599851514442e-01
4.599999999999999922e-02,1.551559505812989403e-01
4.700000000000000011e-02,1.698452393618468392e-01
4.800000000000000100e-02,1.976904700074018084e-01
4.900000000000000189e-02,1.934641131363946109e-01
5.000000000000000278e-02,1.580602564512074704e-01
5.100000000000000366e-02,1.875845486230173220e-01
5.200000000000000455e-02,2.175485842838345563e-01
5.299999999999999850e-02,2.178514926208311442e-01
5.399999999999999939e-02,2.136766195539605839e-01
5.500000000000000028e-02,2.123585256561334733e-01
5.600000000000000117e-02,2.135230517667633665e-01
5.700000000000000205e-02,2.220721024012799749e-01
5.800000000000000294e-02,2.140058956470105023e-01
5.900000000000000383e-02,2.439587615903179851e-01
5.999999999999999778e-02,2.256144050621116948e-01
6.099999999999999867e-02,2.305336045148213553e-01
6.199999999999999956e-02,2.326523805705168479e-01
6.300000000000000044e-02,2.746857068013637271e-01
6.400000000000000133e-02,2.768341067201104400e-01
6.500000000000000222e-02,2.745847784908370115e-01
6.600000000000000311e-02,2.661733131268257946e-01
6.700000000000000400e-02,2.649050301286939302e-01
6.800000000000000488e-02,2.622721408334635629e-01
6.900000000000000577e-02,2.758894693111736962e-01
7.000000000000000666e-02,2.786037154363120161e-01
7.100000000000000755e-02,2.579335134735544210e-01
7.200000000000000844e-02,2.538021198128994627e-01
7.299999999999999545e-02,2.635045759819169553e-01
7.399999999999999634e-02,2.911044053375743124e-01
7.499999999999999722e-02,3.015785285968615725e-01
7.599999999999999811e-02,2.731660769600848804e-01
7.699999999999999900e-02,2.540921657400261879e-01
7.799999999999999989e-02,2.733749275287976621e-01
7.900000000000000078e-02,3.146707061223438795e-01
8.000000000000000167e-02,3.390775766048987894e-01
