Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,2.266698686270296817e-03,1.332065799074260651e-03
3.000000000000000062e-03,8.645750367423231820e-04,-1.003215636061320377e-04
4.000000000000000083e-03,2.140752840652105759e-04,-1.273975536031791544e-03
5.000000000000000104e-03,9.790247103935367443e-04,5.439504528191539939e-04
6.000000000000000125e-03,1.361379067449386155e-05,9.810226250253338033e-04
7.000000000000000146e-03,3.573544401451975183e-04,2.193610200181066519e-03
8.000000000000000167e-03,4.163605929331796107e-04,-5.194835703665810593e-04
9.000000000000001055e-03,3.728772716968224580e-04,3.336904164829772139e-04
1.000000000000000021e-02,-2.969683197788353492e-04,1.416464909490892845e-03
1.099999999999999936e-02,-1.302757176043533140e-03,1.856335136910470130e-03
1.200000000000000025e-02,8.432578418988518829e-04,7.346761065979221916e-04
1.300000000000000114e-02,1.617330238394379697e-04,1.520386024637652468e-04
1.400000000000000029e-02,-1.490416456832474406e-04,8.824720406452788671e-05
1.499999999999999944e-02,-1.843053179356360805e-03,-4.887929239310126895e-04
1.600000000000000033e-02,7.769372666367149911e-05,-3.346458013233271972e-05
1.700000000000000122e-02,-9.749354345211455348e-04,7.012448704240816172e-04
1.800000000000000211e-02,-4.132311259144224582e-04,1.496294360342297460e-04
1.899999999999999953e-02,-3.717640841584240042e-04,2.815849613684354678e-04
2.000000000000000042e-02,-6.753261978606672680e-04,2.357032528084453127e-03
2.100000000000000130e-02,-1.081134791263430733e-03,4.187161132944397686e-03
2.199999999999999872e-02,4.901649956479884988e-05,1.919712469192611480e-03
2.299999999999999961e-02,-9.116288110688935183e-04,-3.032517690257949088e-05
2.400000000000000050e-02,-2.703608470726929797e-03,-9.580988411839251422e-04
2.500000000000000139e-02,-2.212512194034999252e-03,-1.491273521889052798e-03
2.600000000000000228e-02,-4.836383536425525181e-05,-5.368259246626375797e-04
2.699999999999999969e-02,1.162980698242653890e-03,7.395446324436590405e-04
2.800000000000000058e-02,-8.145489999559372887e-04,6.084189243830441778e-04
2.900000000000000147e-02,-7.911355114333910735e-04,7.321819761696188138e-04
2.999999999999999889e-02,-2.066203115745629190e-03,1.327603363442879641e-03
3.099999999999999978e-02,-2.835611589354508372e-03,2.456438155243076231e-03
3.200000000000000067e-02,-3.068648424236935287e-03,-1.118171492240339470e-03
3.300000000000000155e-02,-2.035514062635239430e-03,2.091922101658115485e-03
3.400000000000000244e-02,-2.459911653758400235e-03,1.269270548865133758e-03
3.500000000000000333e-02,-1.461549678680972887e-03,-4.331706817534098850e-04
3.600000000000000422e-02,-1.666823104647147938e-03,1.872534906476895416e-04
3.699999999999999817e-02,-2.080997026782284084e-03,-1.238532597319689675e-03
3.799999999999999906e-02,-4.525274295131327500e-03,1.682505955693546591e-03
3.899999999999999994e-02,-2.142618995115565250e-03,1.554004887856858235e-03
4.000000000000000083e-02,-3.800537697493025675e-03,-1.683438187110894262e-04
4.100000000000000172e-02,-2.045524013861734630e-03,-3.254205949750967357e-04
4.200000000000000261e-02,-2.047173422887295282e-03,1.158381180010146540e-03
4.300000000000000350e-02,-1.602029376111583758e-03,2.331434833376354321e-03
4.399999999999999745e-02,-2.863282628644596428e-03,2.872884695042460246e-03
4.499999999999999833e-02,-2.327989464508712237e-03,2.158065230045724467e-03
4.599999999999999922e-02,-3.156540785599244725e-03,-1.371589475016223719e-04
4.700000000000000011e-02,-3.737501001905423580e-03,1.843850137820808328e-03
4.800000000000000100e-02,-4.024988428594114369e-03,2.409915676149832191e-03
