Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.405244014729513553e-03,-4.260342459194991138e-04
3.000000000000000062e-03,1.392909644260114993e-03,1.239535215927517345e-04
4.000000000000000083e-03,4.993579316780632268e-04,2.066718575405774889e-05
5.000000000000000104e-03,9.334810059502471336e-04,-1.078455546271793290e-03
6.000000000000000125e-03,6.792688732926130445e-04,-1.381136223629455487e-03
7.000000000000000146e-03,7.744555805285658224e-04,-3.852957163098639799e-04
8.000000000000000167e-03,6.009343548687347833e-04,2.187735100723705315e-04
9.000000000000001055e-03,2.776838768389774340e-05,4.530416907052667460e-04
1.000000000000000021e-02,6.580146266576127967e-04,-5.918227851668038473e-05
1.099999999999999936e-02,9.607068477801533439e-04,-3.044333959779932917e-04
1.200000000000000025e-02,1.232117759922579311e-03,-2.714092512927591874e-04
1.300000000000000114e-02,1.507782990616169001e-03,-2.940612688353787924e-04
1.400000000000000029e-02,1.980464561910972535e-03,-7.039495060053833648e-04
1.499999999999999944e-02,2.656969513060129448e-03,-1.076621358078622137e-03
1.600000000000000033e-02,2.830302342744507940e-03,-1.807238377783210604e-03
1.700000000000000122e-02,2.641758381894361313e-03,-7.456464075513353270e-04
1.800000000000000211e-02,2.118352370993105156e-03,-5.384918861352186881e-04
1.899999999999999953e-02,2.319440784091705929e-03,-1.604311859640176726e-03
2.000000000000000042e-02,2.735444266276856103e-03,-1.134498842444061403e-03
2.100000000000000130e-02,2.432142190549477223e-03,7.366093529656511131e-04
2.199999999999999872e-02,1.855311153842330914e-03,-1.216385545911774502e-03
2.299999999999999961e-02,2.127246823926006586e-03,-6.242864225905535259e-04
2.400000000000000050e-02,3.240459058337877285e-03,-6.335852638711110367e-05
2.500000000000000139e-02,4.404084489539308346e-03,1.357084259955295509e-04
2.600000000000000228e-02,5.637943548877196592e-03,-7.323763477364523405e-04
2.699999999999999969e-02,4.128751330664327465e-03,-6.975318576839994924e-04
2.800000000000000058e-02,4.305447045804967898e-03,-1.845092202377125257e-03
2.900000000000000147e-02,4.064463505279233314e-03,-1.217685822574350249e-03
2.999999999999999889e-02,3.259539729692500099e-03,-8.255509026756154434e-04
3.099999999999999978e-02,4.506755999059985224e-03,-1.902190514669722205e-04
3.200000000000000067e-02,6.084137057863219303e-03,-9.743221664480856883e-04
3.300000000000000155e-02,7.051637104761833245e-03,-9.190194015066783595e-04
3.400000000000000244e-02,5.528123547158651091e-03,-9.706711036000725216e-04
3.500000000000000333e-02,6.539620536917455269e-03,-5.026493877238753360e-04
3.600000000000000422e-02,7.015989697551897573e-03,-7.351165460111665781e-04
3.699999999999999817e-02,6.980760987431643312e-03,-8.957486443169873809e-04
3.799999999999999906e-02,6.939610084121435214e-03,-1.329249054524245808e-03
3.899999999999999994e-02,7.169723309301264530e-03,-1.857058452162335107e-03
4.000000000000000083e-02,6.778830513783684446e-03,-5.843153487934086166e-04
4.100000000000000172e-02,7.859373571475277917e-03,-1.550486249398691160e-03
4.200000000000000261e-02,8.668840007531571426e-03,-2.024585784235626712e-03
4.300000000000000350e-02,9.180462344257494384e-03,-1.590803453911103374e-03
4.399999999999999745e-02,9.605934211196426667e-03,-1.351472775636927996e-03
4.499999999999999833e-02,9.868184803417529016e-03,-1.458635384935251002e-03
4.599999999999999922e-02,1.019898547381780513e-02,-1.710587889928540106e-03
4.700000000000000011e-02,1.055175816206775467e-02,-2.358765006319997123e-03
4.800000000000000100e-02,1.129988312233499298e-02,-1.712212788192884073e-03
4.900000000000000189e-02,1.130836706685847855e-02,-2.577072477887776356e-03
5.000000000000000278e-02,1.149194886448108230e-02,-2.110299238963491298e-03
5.100000000000000366e-02,1.191044104919162724e-02,-1.707225137797202617e-03
5.200000000000000455e-02,1.306871806750331197e-02,-1.784436258716104234e-03
5.299999999999999850e-02,1.390838101221345859e-02,-2.234482493012194745e-03
5.399999999999999939e-02,1.408606268657969750e-02,-2.573921969976076737e-03
5.500000000000000028e-02,1.398897539101459642e-02,-2.319541350479503976e-03
5.600000000000000117e-02,1.448884122281508119e-02,-1.761727582419842430e-03
5.700000000000000205e-02,1.574568596708928944e-02,-1.731566057067367896e-03
5.800000000000000294e-02,1.523899241102379988e-02,-3.662275273880577931e-03
5.900000000000000383e-02,1.573897577984980506e-02,-4.151720767694726602e-03
5.999999999999999778e-02,1.665473062858502037e-02,-2.953751966037152302e-03
6.099999999999999867e-02,1.697296163379120176e-02,-3.316807733752803050e-03
6.199999999999999956e-02,1.665756848287162917e-02,-4.454900434300189047e-03
6.300000000000000044e-02,1.853098198893837409e-02,-3.233631548787516130e-03
6.400000000000000133e-02,1.949730145156695904e-02,-3.293354175890045223e-03
6.500000000000000222e-02,1.771034210561745273e-02,-4.103125339928795183e-03
6.600000000000000311e-02,1.797175400307616383e-02,-4.469997061944401724e-03
6.700000000000000400e-02,2.023964518630252257e-02,-4.108644941385982893e-03
6.800000000000000488e-02,1.996841094593173466e-02,-4.728608874201940468e-03
6.900000000000000577e-02,2.000637573887181428e-02,-5.242824541408474572e-03
7.000000000000000666e-02,2.160500205775260640e-02,-5.769069064558225886e-03
7.100000000000000755e-02,2.249504693419006329e-02,-6.146280245959200549e-03
7.200000000000000844e-02,2.233055523700633663e-02,-6.602097228243844311e-03
7.299999999999999545e-02,2.220204223475202507e-02,-6.439030399490802518e-03
7.399999999999999634e-02,2.259865210900978069e-02,-5.660076425056395459e-03
7.499999999999999722e-02,2.367865056507601970e-02,-6.980559770935783857e-03
7.599999999999999811e-02,2.408549922259934153e-02,-6.866300919062119472e-03
7.699999999999999900e-02,2.550523827244393846e-02,-6.974552377990163657e-03
7.799999999999999989e-02,2.557094251399903706e-02,-7.832988815093514315e-03
7.900000000000000078e-02,2.584064512103129846e-02,-7.836691528355619468e-03
8.000000000000000167e-02,2.646839216835552427e-02,-8.013516855351622906e-03
8.100000000000000255e-02,2.801325190894026970e-02,-8.395160184748591894e-03
8.200000000000000344e-02,2.849988044335281107e-02,-8.665912243723247754e-03
8.300000000000000433e-02,2.734631457164848206e-02,-9.157831686327000398e-03
8.400000000000000522e-02,2.872468236015602444e-02,-9.676234079984618458e-03
8.500000000000000611e-02,2.963907842675441578e-02,-8.668049701264102930e-03
8.600000000000000699e-02,3.112604225873078292e-02,-8.975002245014556540e-03
8.700000000000000788e-02,3.078338050291328301e-02,-9.948886472830180058e-03
8.799999999999999489e-02,3.134912571442115964e-02,-1.055405182020779757e-02
8.899999999999999578e-02,3.352291280590865424e-02,-1.039599544529356059e-02
8.999999999999999667e-02,3.327261172852930687e-02,-1.071692846800647268e-02
9.099999999999999756e-02,3.223170303206216586e-02,-1.169841856078852535e-02
9.199999999999999845e-02,3.296880729186146136e-02,-1.125143101449977909e-02
9.299999999999999933e-02,3.514896951930888969e-02,-1.251370859091864227e-02
9.400000000000000022e-02,3.623328087376231910e-02,-1.373769311779999593e-02
9.500000000000000111e-02,3.613198373666292457e-02,-1.223246798893266006e-02
9.600000000000000200e-02,3.602234137567594807e-02,-1.347660092236854616e-02
9.700000000000000289e-02,3.640952271263189766e-02,-1.306650497801307119e-02
9.800000000000000377e-02,3.681735025247680204e-02,-1.402395440117218221e-02
9.900000000000000466e-02,3.789692132680123199e-02,-1.372745349731805189e-02
1.000000000000000056e-01,3.962631320534869966e-02,-1.483010520552192901e-02
1.010000000000000064e-01,4.016061581638089711e-02,-1.707403551915805465e-02
1.020000000000000073e-01,4.015170854976091164e-02,-1.595756993192487191e-02
1.030000000000000082e-01,4.021280283474307216e-02,-1.570085722860360342e-02
1.040000000000000091e-01,4.064354995169194851e-02,-1.611415385329138805e-02
1.049999999999999961e-01,4.130193208056431170e-02,-1.732777878983705541e-02
1.059999999999999970e-01,4.205444104621720858e-02,-1.583285708673850406e-02
1.069999999999999979e-01,4.361557871441709006e-02,-1.651775533443405886e-02
1.079999999999999988e-01,4.385452965764867483e-02,-1.789306124155314731e-02
1.089999999999999997e-01,4.494858145228952662e-02,-1.955096044350005877e-02
1.100000000000000006e-01,4.549823869895688877e-02,-1.810267208360914065e-02
1.110000000000000014e-01,4.619757723201550065e-02,-1.964761107814156499e-02
1.120000000000000023e-01,4.594726353717042133e-02,-2.002087717426618077e-02
1.130000000000000032e-01,4.670026704031231268e-02,-2.000695482406932360e-02
1.140000000000000041e-01,4.656137179517577662e-02,-1.894270100408101606e-02
1.150000000000000050e-01,4.766986885838865595e-02,-1.976232758933576389e-02
1.160000000000000059e-01,4.738385287539973595e-02,-2.038570931096601868e-02
1.170000000000000068e-01,4.857989928143200548e-02,-2.200863705186711927e-02
1.180000000000000077e-01,4.906358102513926067e-02,-2.298933210110076092e-02
1.190000000000000085e-01,5.019157321018159063e-02,-2.261365947090698825e-02
1.199999999999999956e-01,4.932690062688256660e-02,-2.340314655633371835e-02
1.209999999999999964e-01,5.066686891194702863e-02,-2.396684759882463864e-02
1.219999999999999973e-01,5.065144431598482544e-02,-2.289879047289394842e-02
1.229999999999999982e-01,5.187584273327790207e-02,-2.401469064620401911e-02
1.239999999999999991e-01,5.150925493749809042e-02,-2.482600275571382464e-02
1.250000000000000000e-01,5.259788321938829031e-02,-2.523772555223766090e-02
1.260000000000000009e-01,5.288529250053900649e-02,-2.533933519386997318e-02
1.270000000000000018e-01,5.391217537324177744e-02,-2.656106298136492322e-02
1.280000000000000027e-01,5.362845463705156329e-02,-2.653334493324180365e-02
1.290000000000000036e-01,5.484659574290637329e-02,-2.746052735559003505e-02
1.300000000000000044e-01,5.542707229872832070e-02,-2.669018167887221571e-02
1.310000000000000053e-01,5.610242963608367411e-02,-2.778182139545600643e-02
1.320000000000000062e-01,5.558879175468655481e-02,-2.782281878009032483e-02
1.330000000000000071e-01,5.618673153771073375e-02,-2.954800402148949345e-02
1.340000000000000080e-01,5.755158584570806840e-02,-2.922297587866184987e-02
1.350000000000000089e-01,5.607770349396313386e-02,-2.966479320539850903e-02
1.360000000000000098e-01,5.762535215229675628e-02,-3.167388907509346291e-02
