Time,Position
1.000000000000000021e-03,0.000000000000000000e+00
2.000000000000000042e-03,-1.560442896511639588e-01
3.000000000000000062e-03,-6.665536513187859946e-02
4.000000000000000083e-03,5.383905271047167984e-02
5.000000000000000104e-03,1.715317132602901251e-01
6.000000000000000125e-03,2.691781665020311354e-01
7.000000000000000146e-03,2.125377763189575664e-01
8.000000000000000167e-03,2.406804402817796229e-01
9.000000000000001055e-03,4.389817329932447221e-01
1.000000000000000021e-02,5.462418196810618909e-01
1.099999999999999936e-02,6.230735421724937773e-01
1.200000000000000025e-02,6.606495803788927645e-01
1.300000000000000114e-02,7.257776310121630825e-01
1.400000000000000029e-02,8.859456938433096784e-01
1.499999999999999944e-02,1.005828933834502781e+00
1.600000000000000033e-02,1.075762868797436100e+00
1.700000000000000122e-02,1.126011304210785546e+00
1.800000000000000211e-02,1.240761453410204274e+00
1.899999999999999953e-02,1.343624094890430998e+00
2.000000000000000042e-02,1.396647547037741743e+00
2.100000000000000130e-02,1.484369721255109020e+00
2.199999999999999872e-02,1.547925824938155781e+00
2.299999999999999961e-02,1.668171978054060478e+00
2.400000000000000050e-02,1.857673952107824933e+00
2.500000000000000139e-02,1.949208319193386441e+00
2.600000000000000228e-02,1.989931676591811138e+00
2.699999999999999969e-02,2.012482251717044868e+00
2.800000000000000058e-02,2.173438612275322424e+00
2.900000000000000147e-02,2.294988753555247118e+00
2.999999999999999889e-02,2.328699331581844501e+00
3.099999999999999978e-02,2.392921181425319066e+00
3.200000000000000067e-02,2.534449043939201562e+00
3.300000000000000155e-02,2.630602751316754695e+00
3.400000000000000244e-02,2.686469558370021549e+00
3.500000000000000333e-02,2.728623458540893942e+00
3.600000000000000422e-02,2.836832112295226249e+00
3.699999999999999817e-02,3.015695524225980861e+00
3.799999999999999906e-02,3.119476401142009081e+00
3.899999999999999994e-02,3.108165450752827574e+00
4.000000000000000083e-02,3.198246311899182182e+00
4.100000000000000172e-02,3.222971748344387155e+00
4.200000000000000261e-02,3.361195385413058290e+00
4.300000000000000350e-02,3.467870234531488904e+00
4.399999999999999745e-02,3.523103912473684929e+00
4.499999999999999833e-02,3.514306778072094239e+00
4.599999999999999922e-02,3.600893648845945094e+00
4.700000000000000011e-02,3.733320209485068819e+00
4.800000000000000100e-02,3.809226617143644855e+00
4.900000000000000189e-02,3.921491029445326681e+00
5.000000000000000278e-02,3.895984657213027003e+00
5.100000000000000366e-02,4.106405780960996843e+00
5.200000000000000455e-02,4.116087832889692599e+00
5.299999999999999850e-02,4.155257913973524175e+00
5.399999999999999939e-02,4.260030653737947759e+00
5.500000000000000028e-02,4.391658943334954657e+00
5.600000000000000117e-02,4.524076160719411988e+00
5.700000000000000205e-02,4.439511732527236632e+00
5.800000000000000294e-02,4.550472196208117381e+00
5.900000000000000383e-02,4.605232577570711250e+00
5.999999999999999778e-02,4.725182513043905352e+00
6.099999999999999867e-02,4.800907005335365518e+00
6.199999999999999956e-02,4.799912984935112092e+00
6.300000000000000044e-02,4.853440173387721046e+00
6.400000000000000133e-02,4.965793340175692627e+00
6.500000000000000222e-02,5.096900587015682049e+00
6.600000000000000311e-02,5.144034713764965794e+00
6.700000000000000400e-02,5.225553281059553967e+00
6.800000000000000488e-02,5.211104292467903853e+00
6.900000000000000577e-02,5.294370747726131476e+00
7.000000000000000666e-02,5.362735483054675178e+00
7.100000000000000755e-02,5.479722696067524268e+00
7.200000000000000844e-02,5.534444283693016331e+00
7.299999999999999545e-02,5.610857453324870292e+00
7.399999999999999634e-02,5.761427778019787560e+00
7.499999999999999722e-02,5.701854151328968001e+00
7.599999999999999811e-02,5.811452696403231144e+00
7.699999999999999900e-02,5.882149279305140865e+00
7.799999999999999989e-02,5.901407698693026838e+00
7.900000000000000078e-02,5.927695604324798140e+00
8.000000000000000167e-02,6.043437122691628360e+00
8.100000000000000255e-02,6.084714497215450102e+00
8.200000000000000344e-02,6.110864069458253667e+00
8.300000000000000433e-02,6.277529019821795231e+00
8.400000000000000522e-02,6.249800101730588864e+00
8.500000000000000611e-02,6.279644363828255749e+00
8.600000000000000699e-02,6.408492086721971681e+00
8.700000000000000788e-02,6.497430422080332946e+00
8.799999999999999489e-02,6.536159211930019808e+00
8.899999999999999578e-02,6.589997872873713192e+00
8.999999999999999667e-02,6.690458718234271629e+00
9.099999999999999756e-02,6.792623969963059949e+00
9.199999999999999845e-02,6.745176574271332548e+00
9.299999999999999933e-02,6.860714410777455363e+00
9.400000000000000022e-02,6.946320043500723962e+00
9.500000000000000111e-02,6.991415429161759398e+00
9.600000000000000200e-02,6.943226700794652650e+00
9.700000000000000289e-02,7.123507535277617819e+00
9.800000000000000377e-02,7.105585759164581461e+00
9.900000000000000466e-02,7.097891273684283853e+00
1.000000000000000056e-01,7.187953867182226730e+00
1.010000000000000064e-01,7.335148534335149684e+00
1.020000000000000073e-01,7.341042818349987620e+00
1.030000000000000082e-01,7.378130027082758779e+00
1.040000000000000091e-01,7.309308923938902858e+00
1.049999999999999961e-01,7.410705968383641817e+00
1.059999999999999970e-01,7.548917687326641257e+00
1.069999999999999979e-01,7.608601865113177709e+00
1.079999999999999988e-01,7.632441295033566497e+00
1.089999999999999997e-01,7.744196705891503996e+00
1.100000000000000006e-01,7.776171410205670043e+00
1.110000000000000014e-01,7.806306923849570367e+00
1.120000000000000023e-01,7.883458761627480271e+00
1.130000000000000032e-01,7.866846505841843751e+00
1.140000000000000041e-01,7.876857887508894152e+00
1.150000000000000050e-01,7.974231379157751931e+00
1.160000000000000059e-01,8.004736004176255193e+00
1.170000000000000068e-01,8.031523068571765123e+00
1.180000000000000077e-01,8.074953427227043790e+00
1.190000000000000085e-01,8.174386650091753026e+00
1.199999999999999956e-01,8.146912621069033023e+00
1.209999999999999964e-01,8.267120145893894545e+00
1.219999999999999973e-01,8.305070102068510707e+00
1.229999999999999982e-01,8.277963397637034149e+00
1.239999999999999991e-01,8.339504001621316220e+00
1.250000000000000000e-01,8.387134676073831230e+00
1.260000000000000009e-01,8.437434825893380008e+00
1.270000000000000018e-01,8.460732723389698506e+00
1.280000000000000027e-01,8.570472254619906138e+00
1.290000000000000036e-01,8.520713323182896204e+00
1.300000000000000044e-01,8.543883140758438799e+00
1.310000000000000053e-01,8.650417309598283921e+00
1.320000000000000062e-01,8.682645407146958760e+00
1.330000000000000071e-01,8.764818111759526076e+00
1.340000000000000080e-01,8.863364222195118103e+00
1.350000000000000089e-01,8.803367336648200592e+00
1.360000000000000098e-01,8.818109532617976143e+00
1.370000000000000107e-01,8.917297892574039153e+00
1.380000000000000115e-01,8.933874191916777008e+00
1.390000000000000124e-01,9.027188689079153505e+00
1.400000000000000133e-01,9.042654925248454489e+00
1.410000000000000142e-01,8.934304441905577931e+00
1.420000000000000151e-01,9.042248931909927734e+00
1.430000000000000160e-01,9.074692848854619243e+00
1.440000000000000169e-01,9.035832443826251392e+00
1.449999999999999900e-01,9.122119612231038843e+00
1.459999999999999909e-01,9.175169336240562856e+00
1.469999999999999918e-01,9.261187263621213361e+00
1.479999999999999927e-01,9.255703476073220415e+00
1.489999999999999936e-01,9.260355586440434550e+00
1.499999999999999944e-01,9.275159020178891822e+00
1.509999999999999953e-01,9.457214497594177871e+00
1.519999999999999962e-01,9.442675529259819456e+00
1.529999999999999971e-01,9.441464686520138372e+00
1.539999999999999980e-01,9.447449087489268038e+00
1.549999999999999989e-01,9.481785886502269278e+00
1.559999999999999998e-01,9.537970340042626560e+00
1.570000000000000007e-01,9.554170387710563261e+00
1.580000000000000016e-01,9.561289103742835138e+00
1.590000000000000024e-01,9.608751955133486788e+00
1.600000000000000033e-01,9.726937629587633083e+00
1.610000000000000042e-01,9.664140126970037770e+00
1.620000000000000051e-01,9.707699649192516489e+00
1.630000000000000060e-01,9.732475830108423764e+00
1.640000000000000069e-01,9.872202112220703540e+00
1.650000000000000078e-01,9.851722974093144458e+00
1.660000000000000087e-01,9.777327136612786518e+00
1.670000000000000095e-01,9.787589479947493842e+00
1.680000000000000104e-01,9.866527705769167156e+00
1.690000000000000113e-01,9.915501444971436484e+00
1.700000000000000122e-01,9.933155897193572059e+00
1.710000000000000131e-01,9.955590865058486116e+00
1.720000000000000140e-01,9.987249772101518985e+00
1.730000000000000149e-01,1.003827123603083216e+01
1.740000000000000158e-01,1.004091956578766265e+01
1.750000000000000167e-01,1.015831464107197490e+01
1.759999999999999898e-01,1.016193873656832380e+01
1.769999999999999907e-01,1.009852083737686534e+01
1.779999999999999916e-01,1.010890047742904407e+01
1.789999999999999925e-01,1.022923212983418217e+01
1.799999999999999933e-01,1.024690347399757329e+01
1.809999999999999942e-01,1.023546444546683531e+01
1.819999999999999951e-01,1.034763195031560734e+01
1.829999999999999960e-01,1.032142560104989037e+01
1.839999999999999969e-01,1.029640609751691827e+01
1.849999999999999978e-01,1.033783421639211397e+01
1.859999999999999987e-01,1.041926047041741121e+01
1.869999999999999996e-01,1.044913506546492421e+01
1.880000000000000004e-01,1.043854179757549261e+01
1.890000000000000013e-01,1.036987946741639632e+01
1.900000000000000022e-01,1.043940119261393740e+01
1.910000000000000031e-01,1.049065728481309989e+01
1.920000000000000040e-01,1.045616178114050854e+01
1.930000000000000049e-01,1.056939784878714406e+01
1.940000000000000058e-01,1.057677189034197696e+01
1.950000000000000067e-01,1.055942606575565890e+01
1.960000000000000075e-01,1.067155742532093932e+01
1.970000000000000084e-01,1.064381681842334437e+01
1.980000000000000093e-01,1.057195223913023341e+01
1.990000000000000102e-01,1.059148855490055041e+01
2.000000000000000111e-01,1.070259531957855081e+01
2.010000000000000120e-01,1.075916618187489071e+01
2.020000000000000129e-01,1.074382073491258005e+01
2.030000000000000138e-01,1.073602458853943986e+01
2.040000000000000147e-01,1.080468562743885741e+01
2.050000000000000155e-01,1.079315290163152419e+01
2.060000000000000164e-01,1.086291713767384337e+01
2.070000000000000173e-01,1.084360236863372862e+01
2.080000000000000182e-01,1.083370779449057686e+01
2.089999999999999913e-01,1.087064436434078729e+01
2.099999999999999922e-01,1.088534796255429526e+01
2.109999999999999931e-01,1.086369433724233424e+01
2.119999999999999940e-01,1.081454663222535473e+01
2.129999999999999949e-01,1.088081859189375855e+01
2.139999999999999958e-01,1.093783808558967330e+01
2.149999999999999967e-01,1.088696232527927776e+01
2.159999999999999976e-01,1.098839149833671236e+01
2.169999999999999984e-01,1.092850209473431100e+01
2.179999999999999993e-01,1.096880951462044074e+01
2.190000000000000002e-01,1.100664701951160929e+01
2.200000000000000011e-01,1.100889342558433626e+01
2.210000000000000020e-01,1.105377261280013990e+01
2.220000000000000029e-01,1.108776706488775332e+01
2.230000000000000038e-01,1.112697870007065326e+01
2.240000000000000047e-01,1.114039750413999741e+01
2.250000000000000056e-01,1.117518557517274047e+01
2.260000000000000064e-01,1.112169957777521212e+01
2.270000000000000073e-01,1.111774588740159864e+01
2.280000000000000082e-01,1.115804660495007461e+01
2.290000000000000091e-01,1.117337507438478639e+01
2.300000000000000100e-01,1.115203527070436529e+01
2.310000000000000109e-01,1.123172363438338195e+01
2.320000000000000118e-01,1.124597674019031146e+01
2.330000000000000127e-01,1.120059029505208237e+01
2.340000000000000135e-01,1.126471927378363702e+01
2.350000000000000144e-01,1.121631725714938277e+01
2.360000000000000153e-01,1.129210308815331842e+01
2.370000000000000162e-01,1.129718709531242915e+01
2.380000000000000171e-01,1.130143637205321561e+01
2.390000000000000180e-01,1.123983170875377979e+01
2.399999999999999911e-01,1.125298551821762061e+01
2.409999999999999920e-01,1.124470319516406747e+01
2.419999999999999929e-01,1.137410078664339785e+01
2.429999999999999938e-01,1.136557574078076271e+01
2.439999999999999947e-01,1.135364658823143991e+01
2.449999999999999956e-01,1.138475052585072333e+01
2.459999999999999964e-01,1.145232973492142925e+01
2.469999999999999973e-01,1.141269626875589438e+01
2.479999999999999982e-01,1.137003812454453566e+01
2.489999999999999991e-01,1.143010398392053517e+01
2.500000000000000000e-01,1.142314121475636135e+01
2.510000000000000009e-01,1.148552797949641402e+01
2.520000000000000018e-01,1.147134890980649580e+01
2.530000000000000027e-01,1.145751872948703465e+01
2.540000000000000036e-01,1.139716181625700919e+01
2.550000000000000044e-01,1.149333074790539833e+01
2.560000000000000053e-01,1.145078281515976393e+01
2.570000000000000062e-01,1.148763623082270691e+01
2.580000000000000071e-01,1.144663700416428043e+01
2.590000000000000080e-01,1.149922877623993500e+01
2.600000000000000089e-01,1.155751007351345194e+01
2.610000000000000098e-01,1.156942747523908999e+01
2.620000000000000107e-01,1.153470014254419418e+01
2.630000000000000115e-01,1.160124607681635389e+01
2.640000000000000124e-01,1.167827903263024325e+01
2.650000000000000133e-01,1.165045809121553866e+01
2.660000000000000142e-01,1.155206070071815816e+01
2.670000000000000151e-01,1.155763844469829671e+01
2.680000000000000160e-01,1.162189190767984570e+01
2.690000000000000169e-01,1.157346177463143633e+01
2.700000000000000178e-01,1.155244592272277160e+01
2.710000000000000187e-01,1.160510905767225509e+01
2.720000000000000195e-01,1.162762093922767903e+01
2.730000000000000204e-01,1.164701363668594247e+01
2.740000000000000213e-01,1.165790408928102728e+01
2.750000000000000222e-01,1.172678433889531213e+01
2.760000000000000231e-01,1.169068722291307338e+01
2.770000000000000240e-01,1.166654256144999202e+01
2.780000000000000249e-01,1.176791768694197415e+01
2.790000000000000258e-01,1.170050196546461940e+01
2.800000000000000266e-01,1.165835664273090799e+01
2.810000000000000275e-01,1.164546839057472738e+01
2.820000000000000284e-01,1.176678984081086554e+01
2.830000000000000293e-01,1.169003729771876543e+01
2.840000000000000302e-01,1.170602646540717728e+01
2.850000000000000311e-01,1.172596821659322863e+01
2.860000000000000320e-01,1.177092726633920350e+01
2.870000000000000329e-01,1.170741567625258028e+01
2.880000000000000338e-01,1.174716750840053336e+01
2.889999999999999791e-01,1.173085625819970623e+01
2.899999999999999800e-01,1.171127704577609663e+01
2.909999999999999809e-01,1.172280195291921068e+01
2.919999999999999818e-01,1.170492350281479865e+01
2.929999999999999827e-01,1.168354379370695817e+01
2.939999999999999836e-01,1.173172558528948883e+01
2.949999999999999845e-01,1.179074608970533866e+01
2.959999999999999853e-01,1.175995005873827992e+01
2.969999999999999862e-01,1.174654094239685165e+01
2.979999999999999871e-01,1.170483166480775949e+01
2.989999999999999880e-01,1.178591788806742358e+01
2.999999999999999889e-01,1.181123128771739239e+01
3.009999999999999898e-01,1.178831365653533503e+01
3.019999999999999907e-01,1.169545080404512127e+01
3.029999999999999916e-01,1.172426101583362623e+01
3.039999999999999925e-01,1.171382038468687092e+01
3.049999999999999933e-01,1.176503356995343097e+01
3.059999999999999942e-01,1.176701522180467308e+01
3.069999999999999951e-01,1.174268385138845261e+01
3.079999999999999960e-01,1.177799129367853759e+01
3.089999999999999969e-01,1.186006554256505119e+01
3.099999999999999978e-01,1.180630392275303286e+01
3.109999999999999987e-01,1.169062947452666101e+01
3.119999999999999996e-01,1.177244431131567381e+01
3.130000000000000004e-01,1.176453575980311861e+01
3.140000000000000013e-01,1.183491274309716346e+01
3.150000000000000022e-01,1.179689610793289489e+01
3.160000000000000031e-01,1.174921725860436084e+01
3.170000000000000040e-01,1.177957685103459795e+01
3.180000000000000049e-01,1.186177219877476219e+01
3.190000000000000058e-01,1.178388009590973340e+01
3.200000000000000067e-01,1.187912552944130695e+01
3.210000000000000075e-01,1.185679841304177273e+01
3.220000000000000084e-01,1.182435115085528921e+01
3.230000000000000093e-01,1.190165048884628263e+01
3.240000000000000102e-01,1.186373231159082842e+01
3.250000000000000111e-01,1.186289268608846292e+01
3.260000000000000120e-01,1.179496574312587853e+01
3.270000000000000129e-01,1.184010342946915806e+01
3.280000000000000138e-01,1.175380074094493388e+01
3.290000000000000147e-01,1.178762257381344014e+01
3.300000000000000155e-01,1.178010567081020987e+01
3.310000000000000164e-01,1.179942322421879730e+01
3.320000000000000173e-01,1.182851562782115096e+01
3.330000000000000182e-01,1.178874701492022936e+01
3.340000000000000191e-01,1.175590583996943650e+01
3.350000000000000200e-01,1.181624605228930669e+01
3.360000000000000209e-01,1.181033732284629068e+01
3.370000000000000218e-01,1.182902318722141999e+01
3.380000000000000226e-01,1.177733428908655178e+01
3.390000000000000235e-01,1.183807693946308959e+01
3.400000000000000244e-01,1.178674343263342372e+01
3.410000000000000253e-01,1.183247853900652125e+01
3.420000000000000262e-01,1.182746104649629260e+01
3.430000000000000271e-01,1.175707397635811446e+01
3.440000000000000280e-01,1.183642045717025582e+01
3.450000000000000289e-01,1.175134906605543605e+01
3.460000000000000298e-01,1.182638314941568503e+01
3.470000000000000306e-01,1.184912206495133802e+01
3.480000000000000315e-01,1.180707667493318169e+01
3.490000000000000324e-01,1.183949971629946596e+01
3.500000000000000333e-01,1.180852214414105639e+01
3.510000000000000342e-01,1.175174696176403621e+01
3.519999999999999796e-01,1.188640414321544903e+01
3.529999999999999805e-01,1.180717397874713015e+01
3.539999999999999813e-01,1.174744788426010444e+01
3.549999999999999822e-01,1.182068292470948201e+01
3.559999999999999831e-01,1.173282202667946272e+01
3.569999999999999840e-01,1.173964848944925343e+01
3.579999999999999849e-01,1.177531147508248743e+01
3.589999999999999858e-01,1.171155529457574751e+01
3.599999999999999867e-01,1.171752630234885295e+01
3.609999999999999876e-01,1.181806152760768391e+01
3.619999999999999885e-01,1.173513468598615184e+01
3.629999999999999893e-01,1.165090279845413335e+01
3.639999999999999902e-01,1.169726998495841741e+01
3.649999999999999911e-01,1.181707639972962198e+01
3.659999999999999920e-01,1.176327546960263959e+01
3.669999999999999929e-01,1.173007292641259092e+01
3.679999999999999938e-01,1.182028115536456880e+01
3.689999999999999947e-01,1.176862026708869102e+01
3.699999999999999956e-01,1.177963283383892623e+01
3.709999999999999964e-01,1.167064136532037111e+01
3.719999999999999973e-01,1.175749056868969511e+01
3.729999999999999982e-01,1.177931014125438125e+01
3.739999999999999991e-01,1.177468485330868120e+01
3.750000000000000000e-01,1.175907684402047337e+01
3.760000000000000009e-01,1.175959171747003928e+01
3.770000000000000018e-01,1.169059595022495301e+01
3.780000000000000027e-01,1.169932536803683121e+01
3.790000000000000036e-01,1.174121598024769142e+01
3.800000000000000044e-01,1.171941402952454681e+01
3.810000000000000053e-01,1.171327527873541818e+01
3.820000000000000062e-01,1.173818327485241397e+01
3.830000000000000071e-01,1.173048785232531799e+01
3.840000000000000080e-01,1.172926817179508241e+01
3.850000000000000089e-01,1.159009014228352008e+01
3.860000000000000098e-01,1.159545143743180518e+01
3.870000000000000107e-01,1.172277453168677042e+01
3.880000000000000115e-01,1.170026112693560627e+01
3.890000000000000124e-01,1.172331245408222777e+01
3.900000000000000133e-01,1.165275262490760966e+01
3.910000000000000142e-01,1.170521289539851573e+01
3.920000000000000151e-01,1.162405752926352243e+01
3.930000000000000160e-01,1.158706366260174292e+01
3.940000000000000169e-01,1.159491286330468540e+01
3.950000000000000178e-01,1.166862685261065380e+01
3.960000000000000187e-01,1.167158294788541717e+01
3.970000000000000195e-01,1.162744061386982963e+01
3.980000000000000204e-01,1.159569082224994574e+01
3.990000000000000213e-01,1.166774396187457974e+01
4.000000000000000222e-01,1.166778754316441535e+01
4.010000000000000231e-01,1.162680768618206528e+01
4.020000000000000240e-01,1.159522820620419203e+01
4.030000000000000249e-01,1.158414218437367538e+01
4.040000000000000258e-01,1.162547698701239973e+01
4.050000000000000266e-01,1.157392203215179372e+01
4.060000000000000275e-01,1.169048291400180162e+01
4.070000000000000284e-01,1.164753933878747993e+01
4.080000000000000293e-01,1.165835595243323120e+01
4.090000000000000302e-01,1.158370967408907681e+01
4.100000000000000311e-01,1.154892918468116747e+01
