Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-1.201963591739287464e-03,-3.070908154425525984e-03
3.000000000000000062e-03,9.937018334611415551e-03,-2.374216026895547421e-02
4.000000000000000083e-03,1.618633633202246069e-02,-8.330171166398713314e-03
5.000000000000000104e-03,-4.018940558443359623e-03,2.562921654978538022e-02
6.000000000000000125e-03,-9.271942413372818645e-04,-6.179099226179898124e-03
7.000000000000000146e-03,-4.950783475773639503e-03,-1.664988004194929011e-02
8.000000000000000167e-03,1.217894416059408028e-02,-2.180796443954564554e-03
9.000000000000001055e-03,3.185008940695698704e-02,1.112837628396364659e-03
1.000000000000000021e-02,9.129937842579850804e-03,-2.070139938194006518e-02
1.099999999999999936e-02,4.242985969423981527e-03,-1.204044369348981902e-02
1.200000000000000025e-02,1.482170988881674478e-02,2.566835156705829166e-02
1.300000000000000114e-02,1.580589602546110181e-02,1.112039321359666218e-02
1.400000000000000029e-02,1.759380091168757584e-02,1.170619928205411837e-02
1.499999999999999944e-02,3.167951094548801527e-03,5.454811051516777337e-03
1.600000000000000033e-02,9.552230750995425665e-03,-1.608691612901102727e-02
1.700000000000000122e-02,-4.770209234458174311e-03,3.475120601700434214e-03
1.800000000000000211e-02,8.610821903416193690e-03,7.040242680884279888e-03
1.899999999999999953e-02,1.261245196823618936e-02,-3.535331507308229343e-03
2.000000000000000042e-02,-7.935775619220946167e-03,-3.727875563206305143e-02
2.100000000000000130e-02,1.058236614053046851e-02,-4.590637282590973034e-03
2.199999999999999872e-02,1.440745945339975270e-02,1.108150783810213369e-03
2.299999999999999961e-02,1.471604798710764335e-02,2.009685726917258275e-02
2.400000000000000050e-02,2.242381085317687525e-02,-1.657666502405430800e-02
2.500000000000000139e-02,2.689102125582378683e-02,-5.530603394663257191e-03
2.600000000000000228e-02,2.931307298688856991e-02,-2.596671174071357030e-02
2.699999999999999969e-02,-1.265425167679671073e-02,-3.568913329371425913e-02
2.800000000000000058e-02,3.033500138898829329e-02,-2.352861603502745536e-03
2.900000000000000147e-02,2.747671321715628931e-02,-1.659024300148884482e-02
2.999999999999999889e-02,4.569716102691536580e-02,-1.151299566471126676e-02
3.099999999999999978e-02,7.027910347350098397e-03,-3.401269978527143856e-02
3.200000000000000067e-02,-2.604202889184732694e-03,-1.887978248132408249e-02
3.300000000000000155e-02,2.601277183005871324e-02,-1.532417989700219502e-02
3.400000000000000244e-02,3.123532465191139473e-02,1.831347762159638015e-03
3.500000000000000333e-02,-1.980585425038241740e-02,-8.687841568324791708e-03
3.600000000000000422e-02,8.351445399391987240e-03,-1.662756517372785542e-02
3.699999999999999817e-02,1.563666034512202832e-02,-4.049761026345242987e-02
3.799999999999999906e-02,2.655247915420388960e-02,-2.113424621880211421e-02
3.899999999999999994e-02,2.621779468098918431e-02,-8.730166615159197160e-03
4.000000000000000083e-02,1.239781244022122690e-02,-2.441808176816567463e-02
4.100000000000000172e-02,2.154147644089607697e-02,-3.902131871709367539e-02
4.200000000000000261e-02,2.092958738578101774e-02,-3.608369010484462763e-02
4.300000000000000350e-02,2.216795688332979380e-02,-2.246543247703694512e-02
4.399999999999999745e-02,3.968599164852776306e-02,-2.251294419969178395e-03
4.499999999999999833e-02,2.467112684101809700e-02,-2.891540905477534007e-02
4.599999999999999922e-02,1.243625551135645046e-02,-3.232137523899600295e-02
4.700000000000000011e-02,2.770581476121088127e-02,-3.820468490777926412e-02
4.800000000000000100e-02,1.890359473880014879e-02,-3.395397772272038678e-02
4.900000000000000189e-02,2.061314446888250218e-02,-1.615610489112120907e-02
5.000000000000000278e-02,1.516610580559340019e-02,-6.191385193041556295e-02
5.100000000000000366e-02,3.983925593716824975e-02,-6.276943028722720141e-02
5.200000000000000455e-02,3.824925172966540249e-02,-4.722979495917206672e-02
5.299999999999999850e-02,5.515703257221335476e-02,-1.188667884235011796e-02
5.399999999999999939e-02,4.656965708959001637e-02,-4.003689192399663421e-02
5.500000000000000028e-02,1.807880826468246521e-02,-3.759339813209020692e-02
5.600000000000000117e-02,5.941777462119194123e-03,-3.924331300473039158e-02
5.700000000000000205e-02,1.169184436756050272e-02,-3.238710244105832969e-02
5.800000000000000294e-02,3.059124892710908539e-02,-6.593400560514328657e-03
5.900000000000000383e-02,3.945439219171829881e-02,-5.791934496391989290e-02
5.999999999999999778e-02,3.554350528456927394e-02,-5.771062124869696247e-02
6.099999999999999867e-02,3.699456689203453608e-02,-5.805632908670931014e-02
6.199999999999999956e-02,3.883904786243551344e-02,-4.070931489661645808e-02
6.300000000000000044e-02,3.355572489691321242e-02,-3.522905361374795846e-02
6.400000000000000133e-02,8.478656618283026553e-03,-4.167657178521777528e-02
6.500000000000000222e-02,4.176258010992887210e-02,-7.171835533911587179e-02
6.600000000000000311e-02,4.702884255096669019e-02,-7.196588391706842947e-02
6.700000000000000400e-02,3.122743542031402794e-02,-4.598850394773213585e-02
6.800000000000000488e-02,4.669854401617944822e-03,-3.310273017374622956e-02
6.900000000000000577e-02,3.478695788477557255e-02,-5.354825728282668063e-02
7.000000000000000666e-02,4.765299428205210103e-02,-4.468128492207116415e-02
