Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,-9.291825892180598364e-04,3.192532602914331837e-04
3.000000000000000062e-03,-6.654978688974556422e-04,-5.869897666129235327e-04
4.000000000000000083e-03,-1.576288869411379820e-04,7.379627845793909234e-04
5.000000000000000104e-03,2.700485370450076946e-04,8.821960234265032721e-04
6.000000000000000125e-03,-1.186789106333132346e-03,4.156810970249780516e-04
7.000000000000000146e-03,-1.048700587890768901e-03,-4.089456285196076384e-05
8.000000000000000167e-03,2.345980910592301762e-04,-5.141223292128913177e-04
9.000000000000001055e-03,-8.295479614984363481e-04,-3.200779133600470915e-04
1.000000000000000021e-02,-8.507557103320822394e-04,8.529199919485152409e-04
1.099999999999999936e-02,1.868060665014588265e-04,7.494485486673895143e-04
1.200000000000000025e-02,-2.392470347188277154e-04,7.541257126067527072e-04
1.300000000000000114e-02,-9.926478356046884548e-04,3.266273599323954815e-04
1.400000000000000029e-02,-4.669647306775037959e-04,3.197281033122571585e-04
1.499999999999999944e-02,-7.347668073655831125e-04,3.809988860390840760e-04
1.600000000000000033e-02,-1.604978899926424139e-04,1.217059363415802270e-04
1.700000000000000122e-02,-1.404137009014265859e-03,-8.168230369331661023e-04
1.800000000000000211e-02,-3.805390717284196957e-04,2.120224123146057134e-03
1.899999999999999953e-02,2.747522369638604411e-04,7.718144027094931466e-04
2.000000000000000042e-02,7.150387228751049155e-04,5.736579544760425685e-04
2.100000000000000130e-02,-7.159510038696937804e-04,-4.216318401952695886e-04
2.199999999999999872e-02,5.747623640470027589e-05,5.488298384267240168e-04
2.299999999999999961e-02,6.889367624819124798e-04,7.659381916171876907e-04
2.400000000000000050e-02,1.307610139416971306e-03,5.612770991877519787e-04
2.500000000000000139e-02,-8.677444549132220467e-04,2.540110620481106861e-04
2.600000000000000228e-02,-1.858355120610116198e-04,9.622745793637838864e-04
2.699999999999999969e-02,1.168245124307974931e-04,1.953457582189497155e-03
2.800000000000000058e-02,1.937721592646774425e-04,2.681729076991334199e-04
2.900000000000000147e-02,-1.461237961034999189e-05,1.250931893189357810e-03
2.999999999999999889e-02,-7.075481741773166763e-05,5.595173186356663985e-04
3.099999999999999978e-02,1.684287071767103731e-04,7.866238240379121996e-04
3.200000000000000067e-02,3.240229319077576496e-04,7.439183925844323987e-04
3.300000000000000155e-02,3.692030573957872557e-04,1.467476897371297172e-03
3.400000000000000244e-02,-8.117619906009942814e-05,1.489293004618921822e-03
3.500000000000000333e-02,-1.090598630096286043e-04,1.480903467752829952e-04
3.600000000000000422e-02,-2.301149541314490466e-04,2.769873397783862226e-04
3.699999999999999817e-02,1.093497700168508048e-04,1.540784388623676329e-03
3.799999999999999906e-02,-3.409240357747574416e-05,1.762071724829857196e-03
3.899999999999999994e-02,1.284469401795358809e-03,1.324582704234232491e-03
4.000000000000000083e-02,4.543494820318451539e-04,1.703640736117626679e-03
4.100000000000000172e-02,1.896215775028771227e-04,1.101835281366126806e-03
4.200000000000000261e-02,1.067986720360516832e-03,2.937471853380256527e-04
4.300000000000000350e-02,3.365705968975267514e-04,9.195212706772913115e-04
4.399999999999999745e-02,4.361929138706403634e-04,1.704056475845068443e-03
4.499999999999999833e-02,7.687574861952398966e-04,1.569097655629958944e-03
4.599999999999999922e-02,1.783065822554173990e-03,1.272301009988504152e-03
4.700000000000000011e-02,1.289874126703139832e-03,2.153101550736088825e-03
4.800000000000000100e-02,1.381937828484058883e-04,1.129153934710100914e-03
4.900000000000000189e-02,5.987424445798932796e-04,7.323299394368678033e-04
5.000000000000000278e-02,5.600702472078308890e-04,1.957580918862618369e-03
5.100000000000000366e-02,1.429181042446906955e-03,1.368348105272766116e-03
5.200000000000000455e-02,9.116159528399706133e-04,1.059925382070974875e-03
5.299999999999999850e-02,1.733671565692576546e-03,4.442511536430519478e-05
5.399999999999999939e-02,5.801551504583436509e-04,9.693487944832134603e-04
5.500000000000000028e-02,-1.958555900860609478e-04,2.327771456744807954e-03
5.600000000000000117e-02,1.329071478176040838e-04,1.798446470634710009e-03
5.700000000000000205e-02,1.043842935742781775e-03,1.510485497272760942e-03
5.800000000000000294e-02,8.811659724624006963e-04,3.347110662964651855e-04
5.900000000000000383e-02,4.168200167951597560e-04,1.335343011969990874e-03
5.999999999999999778e-02,1.102802890388989267e-03,6.681433027979679631e-04
6.099999999999999867e-02,1.815283671348969256e-03,1.388262637331380729e-03
6.199999999999999956e-02,3.893914375899109204e-04,1.156326118563078681e-03
6.300000000000000044e-02,4.379179483993691450e-04,1.838109812076742320e-03
6.400000000000000133e-02,8.070937257645026874e-04,1.538118000193276595e-03
6.500000000000000222e-02,6.280506959171846702e-04,1.427205307681931115e-03
6.600000000000000311e-02,9.887070053876604973e-04,1.687364618378749907e-03
6.700000000000000400e-02,8.464862593167477890e-04,8.780108568581673507e-04
6.800000000000000488e-02,1.127166191497857694e-03,1.852624836365759182e-03
6.900000000000000577e-02,2.108572459364410189e-03,1.127289244565639077e-03
7.000000000000000666e-02,2.037738796865236866e-03,1.191235254206041974e-03
7.100000000000000755e-02,1.272602584619751329e-03,3.242500896490310312e-04
7.200000000000000844e-02,9.573515743212716953e-04,1.573351646199600083e-03
7.299999999999999545e-02,1.620817262331628733e-03,1.349906411899266974e-03
7.399999999999999634e-02,1.083774485874780535e-03,8.387715641810009450e-04
7.499999999999999722e-02,1.775115082602197070e-03,-2.580451559452939369e-04
7.599999999999999811e-02,1.919819291922025741e-03,1.346728228142214049e-03
7.699999999999999900e-02,1.760732922178696999e-03,1.545800406484457374e-03
7.799999999999999989e-02,1.543469595482611359e-03,9.326485421006663369e-04
7.900000000000000078e-02,2.237320115099172488e-03,1.428548598280409126e-03
8.000000000000000167e-02,1.778129873085771686e-03,4.534990638879766176e-04
8.100000000000000255e-02,8.040226989171603061e-04,9.643875563769795708e-04
8.200000000000000344e-02,1.302299090885592273e-03,1.642931263303266595e-04
8.300000000000000433e-02,1.825929765771889483e-03,4.032468640035949143e-04
8.400000000000000522e-02,1.452250544462664172e-03,7.038290970030728917e-05
8.500000000000000611e-02,2.303057673491521948e-03,1.083990534249784556e-03
8.600000000000000699e-02,2.394259870279743380e-03,1.280664269645493151e-03
8.700000000000000788e-02,2.015180926185050191e-03,4.878117452537764380e-04
8.799999999999999489e-02,9.760201413066670745e-04,6.153503253750411146e-04
8.899999999999999578e-02,1.583241478268209747e-03,1.485833033532026753e-05
8.999999999999999667e-02,2.472162281258048940e-03,5.925199489125589991e-04
9.099999999999999756e-02,1.508147721237331190e-03,1.224367642374405481e-04
9.199999999999999845e-02,1.726038540534790807e-03,1.061536755095346868e-04
9.299999999999999933e-02,1.585472471443662417e-03,1.141363961921231310e-03
9.400000000000000022e-02,1.381549207883914655e-03,6.221360511589118722e-05
9.500000000000000111e-02,2.537439634065501333e-03,4.159806269904537898e-04
9.600000000000000200e-02,1.615952732504369153e-03,-4.381818345231086012e-04
9.700000000000000289e-02,2.076865311068488030e-03,6.031374189309432216e-04
9.800000000000000377e-02,1.842141721673636262e-03,9.927978152230862094e-04
