Time,Position
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,8.662627963091449473e-03,6.270973523833897265e-03
3.000000000000000062e-03,1.355697628599412431e-03,3.061165095059533835e-03
4.000000000000000083e-03,-4.161892735802903351e-03,5.193079903142515386e-03
5.000000000000000104e-03,-3.693069985880178489e-03,1.810969345086724334e-03
6.000000000000000125e-03,-1.521217551138927954e-03,6.089037398163551443e-04
7.000000000000000146e-03,4.621568413069947548e-03,8.344296900804537911e-03
8.000000000000000167e-03,3.324817448008376801e-03,3.194521389261556661e-03
9.000000000000001055e-03,2.588653819738889403e-03,3.993394781537399837e-03
1.000000000000000021e-02,4.826304445076454869e-03,-2.423595081402729785e-03
1.099999999999999936e-02,1.163469517368275266e-02,1.580828874355212198e-03
1.200000000000000025e-02,8.665276340785519130e-03,1.691927245015486169e-03
1.300000000000000114e-02,2.316704884201341644e-03,1.752477147031716777e-03
1.400000000000000029e-02,8.900386111177181758e-03,5.623958327530747398e-03
1.499999999999999944e-02,1.715906633442572382e-03,3.855189622323197934e-03
1.600000000000000033e-02,4.124664641071163276e-03,-4.106108001562746267e-04
1.700000000000000122e-02,5.515595889067547754e-03,4.016467235773773896e-03
1.800000000000000211e-02,-5.848337228681749211e-06,2.215813202620246607e-03
1.899999999999999953e-02,8.335002601350414986e-03,-7.559819189151889204e-03
2.000000000000000042e-02,1.407916396389392519e-02,3.591592099770430854e-03
2.100000000000000130e-02,3.050913406242347636e-03,6.293893397330033515e-03
2.199999999999999872e-02,4.675413692673464384e-03,1.347221016403971072e-03
2.299999999999999961e-02,6.788778665686775321e-03,-6.969406175636704004e-04
2.400000000000000050e-02,1.648935360205332212e-02,-3.672921504089936458e-03
2.500000000000000139e-02,1.173686512707761143e-02,5.318278694686241759e-05
2.600000000000000228e-02,1.790456421709461093e-02,1.293178405966763974e-03
2.699999999999999969e-02,1.196471577942053062e-02,1.028199043834897124e-02
2.800000000000000058e-02,2.322986029523859894e-03,7.734677323767911485e-03
2.900000000000000147e-02,5.490612615180098452e-03,6.414737413219413764e-04
2.999999999999999889e-02,3.036459288946015585e-03,1.568937585837782214e-03
3.099999999999999978e-02,2.039258589357605643e-03,-3.034727900625262820e-03
3.200000000000000067e-02,2.886284811827456200e-03,4.484456916662494554e-04
3.300000000000000155e-02,8.802115477474602503e-03,-4.078086245369979407e-03
3.400000000000000244e-02,9.718268357662597848e-03,-1.924363055134968321e-03
3.500000000000000333e-02,1.458951132200685813e-02,-5.468526539620262999e-03
3.600000000000000422e-02,5.848497330539645378e-03,1.792255615788898582e-03
3.699999999999999817e-02,8.439104353728785202e-03,9.325109811659489448e-03
3.799999999999999906e-02,1.492794795694891985e-02,9.047669845084442899e-03
3.899999999999999994e-02,1.622031027953258972e-02,2.330331251919927349e-04
4.000000000000000083e-02,1.319226657352187172e-02,4.603369964514176377e-03
4.100000000000000172e-02,1.834971574708085112e-02,-1.276372788309963757e-04
4.200000000000000261e-02,1.930277983224216315e-02,2.112097550129257966e-03
4.300000000000000350e-02,1.308925999799047044e-02,3.895371473031233878e-03
4.399999999999999745e-02,7.884992952696782964e-03,8.132924751873245664e-04
4.499999999999999833e-02,8.987526107481512427e-03,-8.870544258769270940e-03
4.599999999999999922e-02,2.365140146129124377e-02,-5.741331134067505920e-03
4.700000000000000011e-02,1.618409516321974578e-02,3.288819964223448598e-03
4.800000000000000100e-02,2.363584233309665161e-03,8.561475260100469623e-03
4.900000000000000189e-02,9.806343140603501415e-03,2.705374157336556951e-03
5.000000000000000278e-02,1.687336266810219795e-02,-7.499806926929658384e-03
5.100000000000000366e-02,2.236263516665817214e-02,-3.519513478344274502e-03
5.200000000000000455e-02,9.791324015338108075e-03,3.555365688808764368e-03
5.299999999999999850e-02,1.218271937874096204e-02,-7.098016048469528265e-04
5.399999999999999939e-02,1.957834361708039178e-02,-3.338882093404410556e-03
5.500000000000000028e-02,1.765913079873968755e-02,-2.597343256455727535e-03
5.600000000000000117e-02,1.621726913316026697e-02,1.982682349066170000e-03
5.700000000000000205e-02,1.707543598553385930e-02,1.870985786573904457e-03
5.800000000000000294e-02,1.174945903694361166e-02,6.636048895700220017e-03
5.900000000000000383e-02,1.867839687672254861e-02,1.221376315865096811e-03
5.999999999999999778e-02,2.020338883860214180e-02,-4.849583117169867751e-03
6.099999999999999867e-02,1.362588783229295650e-02,-1.095122222663329724e-02
6.199999999999999956e-02,1.061260142321154495e-02,3.052388691108590124e-04
6.300000000000000044e-02,2.169060362233029421e-02,4.350826136629981980e-03
6.400000000000000133e-02,2.322536996434697298e-02,6.353017423533302913e-03
6.500000000000000222e-02,1.279332511224790664e-02,3.334013328338119100e-03
6.600000000000000311e-02,1.876064642363137885e-02,-2.022542786214537053e-03
6.700000000000000400e-02,2.441140546448564846e-02,-5.668438549728099449e-03
6.800000000000000488e-02,1.313041721301872605e-02,1.803267940647059267e-03
6.900000000000000577e-02,2.246049383708057998e-02,-2.677271698414451437e-03
7.000000000000000666e-02,2.268596681422445360e-02,-5.837945953525267191e-04
7.100000000000000755e-02,1.929765439860098644e-02,-1.763078091067386984e-04
7.200000000000000844e-02,1.680463980021863757e-02,-7.265036781778410994e-03
7.299999999999999545e-02,1.327671209422391640e-02,-1.741225043519708561e-03
7.399999999999999634e-02,6.749241725976018458e-03,-5.325383669733299574e-03
